,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,20,DCB_se2_ag3_m_02,20.8654,It's interesting.,"21.7653
",BE_P,'s
1,24,DCB_se2_ag3_m_02,23.1688,"l- I've used that word a lot,","24.6843
",HV_P,'ve
2,38,DCB_se2_ag3_m_02,29.4533,it's true.,"30.0874
",BE_P,'s
3,49,DCB_se2_ag3_m_02,39.7373,there are a bunch of stories that I left out.,"41.3600
",BE_P,are
4,109,DCB_se2_ag3_m_02,90.1854,That's what's up.,"90.7542
",BE_P,'s
5,109,DCB_se2_ag3_m_02,90.1854,That's what's up.,"90.7542
",BE_P,'s
6,115,DCB_se2_ag3_m_02,93.3317,I'll never have to deal with it anymore. /But you know./,"95.3274
",HV_P,have
7,135,DCB_se2_ag3_m_02,109.1354,"DC. Like- like DC's, uh,","111.2058
",BE_P,'s
8,159,DCB_se2_ag3_m_02,130.3622,it's a double edged sword.,"131.8077
",BE_P,'s
9,167,DCB_se2_ag3_m_02,137.9429,knew the value of the land that we are,"140.3664
",BE_P,are
10,171,DCB_se2_ag3_m_02,142.7632,"then we wouldn't litter in the communities that we're already in,","146.6509
",BE_P,'re
11,205,DCB_se2_ag3_m_02,173.8823,a large business that doesn't,"175.5516
",DO_N,doesn't
12,221,DCB_se2_ag3_m_02,184.5720,to a point beyond where the folks who are residing there,"187.1319
",BE_P,are
13,229,DCB_se2_ag3_m_02,191.0523,so it's a cycle.,"191.9382
",BE_P,'s
14,251,DCB_se2_ag3_m_02,208.0544,and then raise the values even higher than they already are.,"211.1739
",BE_P,are
15,279,DCB_se2_ag3_m_02,233.9009,it's interest-,"234.7029
",BE_P,'s
16,285,DCB_se2_ag3_m_02,237.4622,and I'm not saying that it's our fault,"239.1082
",BE_N,'m not
17,285,DCB_se2_ag3_m_02,237.4622,and I'm not saying that it's our fault,"239.1082
",BE_P,'s
18,295,DCB_se2_ag3_m_02,246.2320,folks might have,"246.9454
",HV_P,have
19,319,DCB_se2_ag3_m_02,266.1753,is a direct-,"266.9633
",BE_P,is
20,321,DCB_se2_ag3_m_02,267.4342,is in direct correlation to,"269.6864
",BE_P,is
21,339,DCB_se2_ag3_m_02,284.3245,"it's a system,","285.0192
",BE_P,'s
22,343,DCB_se2_ag3_m_02,287.9382,"while I'm happy for a safer DC,","290.4830
",BE_P,'m
23,345,DCB_se2_ag3_m_02,291.2011,I am sad,"292.1197
",BE_P,am
24,351,DCB_se2_ag3_m_02,293.9242,we feel like we're not supposed to be a part of it.,"296.0540
",BE_N,'re not
25,357,DCB_se2_ag3_m_02,299.0103,"is, uh, the drum circle at Malcolm X Park,","301.4210
",BE_P,is
26,364,DCB_se2_ag3_m_02,304.5580,"And I've been going to drum circle for like,","306.3206
",HV_P,'ve
27,384,DCB_se2_ag3_m_02,315.2477,didn't even know it was a thing.,"316.5953
",DO_N,didn't
28,386,DCB_se2_ag3_m_02,316.6746,"Like a lot of us didn't know it was a thing,","318.5584
",DO_N,didn't
29,404,DCB_se2_ag3_m_02,329.0243,"And I'm like,","329.4766
",BE_P,'m
30,406,DCB_se2_ag3_m_02,329.5932,that's cool.,"330.1714
",BE_P,'s
31,408,DCB_se2_ag3_m_02,330.2786,That's alright.,"330.7869
",BE_P,'s
32,424,DCB_se2_ag3_m_02,340.4554,I think there's a difference between,"342.1247
",BE_P,'s
33,434,DCB_se2_ag3_m_02,349.8442,"I'm pro-black too. Like, I'm like,","351.5042
",BE_P,'m
34,434,DCB_se2_ag3_m_02,349.8442,"I'm pro-black too. Like, I'm like,","351.5042
",BE_P,'m
35,438,DCB_se2_ag3_m_02,352.1104,But pro-black doesn't,"353.0103
",DO_N,doesn't
36,448,DCB_se2_ag3_m_02,360.9454,we can't have white people,"361.8582
",HV_P,have
37,456,DCB_se2_ag3_m_02,366.3998,"And it's like, well nah.","367.2298
",BE_P,'s
38,458,DCB_se2_ag3_m_02,367.3499,"If they are coming, and they are learning,","369.5695
",BE_P,are
39,458,DCB_se2_ag3_m_02,367.3499,"If they are coming, and they are learning,","369.5695
",BE_P,are
40,464,DCB_se2_ag3_m_02,371.9522,"they don't like,","372.6610
",DO_N,don't
41,466,DCB_se2_ag3_m_02,372.7589,"go to their neighborhood and try to start a drum circle and be like, this is mine!","375.9005
",BE_P,is
42,468,DCB_se2_ag3_m_02,376.1756,"Like don't conquistador the shit,","377.5699
",DO_N,don't
43,496,DCB_se2_ag3_m_02,395.4766,"the white people started coming, so I'm not gonna come anymore.","397.5982
",BE_N,'m not
44,500,DCB_se2_ag3_m_02,398.7395,"that's ass backwards. Like,","400.2549
",BE_P,'s
45,503,DCB_se2_ag3_m_02,401.5419,that's you giving,"402.5397
",BE_P,'s
46,513,DCB_se2_ag3_m_02,406.8658,interest in what you're already doing.,"408.7309
",BE_P,'re
47,519,DCB_se2_ag3_m_02,411.6254,"yeah. Like, that's just so backwards to me.","413.7517
",BE_P,'s
48,525,DCB_se2_ag3_m_02,415.8022,"and I've always looked at it like,","417.0332
",HV_P,'ve
49,533,DCB_se2_ag3_m_02,421.6111,"like, integration was the worst thing that could have happened to the black community,","424.4694
",HV_P,have
50,583,DCB_se2_ag3_m_02,461.4440,"That's a whole nother conversation,","463.1552
",BE_P,'s
51,587,DCB_se2_ag3_m_02,465.4949,if you are,"466.1617
",BE_P,are
52,603,DCB_se2_ag3_m_02,475.9608,"um, how connected to Africa are you?","477.9798
",BE_P,are
53,625,DCB_se2_ag3_m_02,491.6165,"I'm African American,","492.5724
",BE_P,'m
54,635,DCB_se2_ag3_m_02,495.6814,"it's fucked up, but our","496.9730
",HV_P,'s
55,643,DCB_se2_ag3_m_02,502.0497,was part of my family is slavery.,"503.8963
",BE_P,is
56,647,DCB_se2_ag3_m_02,506.0354,you're,"506.1473
",BE_P,'re
57,655,DCB_se2_ag3_m_02,509.2901,is,"509.8216
",BE_P,is
58,673,DCB_se2_ag3_m_02,524.4271,"go go is like a DC thing,","526.1990
",BE_P,is
59,679,DCB_se2_ag3_m_02,530.4131,there's just a certain,"531.4529
",BE_P,'s
60,685,DCB_se2_ag3_m_02,534.0548,"and it's not even like style, it's just a vibe. Like-","536.8187
",BE_N,'s not
61,685,DCB_se2_ag3_m_02,534.0548,"and it's not even like style, it's just a vibe. Like-","536.8187
",BE_P,'s
62,685,DCB_se2_ag3_m_02,534.0548,"and it's not even like style, it's just a vibe. Like-","536.8187
",BE_P,'s
63,695,DCB_se2_ag3_m_02,541.5271,"that's been living in DC for more than seven years walk in the room, and I'm like,","545.4999
",BE_P,'s
64,695,DCB_se2_ag3_m_02,541.5271,"that's been living in DC for more than seven years walk in the room, and I'm like,","545.4999
",BE_P,'m
65,697,DCB_se2_ag3_m_02,545.8263,that's a DC cat.,"546.6470
",BE_P,'s
66,699,DCB_se2_ag3_m_02,547.1552,"Um, it's a certain","547.9514
",BE_P,'s
67,729,DCB_se2_ag3_m_02,573.2990,I'm'a feel bad for not remembering these jonts.,"575.6165
",BE_N,not
68,729,DCB_se2_ag3_m_02,573.2990,I'm'a feel bad for not remembering these jonts.,"575.6165
",BE_P,'m
69,771,DCB_se2_ag3_m_02,601.7043,"that New York started calling people bamas. I was like, that's not true.","604.3295
",BE_N,'s not
70,809,DCB_se2_ag3_m_02,629.7937,some of that is being lost.,"631.3278
",BE_P,is
71,815,DCB_se2_ag3_m_02,634.8098,"folks don't know like, that history and that culture.","637.4257
",DO_N,don't
72,821,DCB_se2_ag3_m_02,642.9454,"if you have a go go band playing in DC, the cops shut it down.","646.2503
",HV_P,have
73,825,DCB_se2_ag3_m_02,648.3998,most go go performances are happening in PG county now.,"651.2058
",BE_P,are
74,827,DCB_se2_ag3_m_02,651.7420,"Um, and you're starting to see some of that-","653.2621
",BE_P,'re
75,829,DCB_se2_ag3_m_02,653.9475,you're starting to see a lot of the same things that were happening in DC now happening in PG.,"658.1337
",BE_P,'re
76,831,DCB_se2_ag3_m_02,658.4181,HIV infection rates are raising in-,"659.9289
",BE_P,are
77,839,DCB_se2_ag3_m_02,663.2431,A lot of the style and brands are moving out to PG.,"666.0035
",BE_P,are
78,845,DCB_se2_ag3_m_02,668.3105,go go bands are performing out in PG. Crime rates are rising,"671.4253
",BE_P,are
79,845,DCB_se2_ag3_m_02,668.3105,go go bands are performing out in PG. Crime rates are rising,"671.4253
",BE_P,are
80,853,DCB_se2_ag3_m_02,677.8823,I'm okay with it.,"678.6377
",BE_P,'m
