,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,16,DCB_se1_ag2_m_02,16.4096,[It's- it's-] uh- it's- it's just pretty much,"18.3789
",BE_P,'s
1,16,DCB_se1_ag2_m_02,16.4096,[It's- it's-] uh- it's- it's just pretty much,"18.3789
",BE_P,'s
2,16,DCB_se1_ag2_m_02,16.4096,[It's- it's-] uh- it's- it's just pretty much,"18.3789
",BE_P,'s
3,16,DCB_se1_ag2_m_02,16.4096,[It's- it's-] uh- it's- it's just pretty much,"18.3789
",BE_P,'s
4,25,DCB_se1_ag2_m_02,26.8806,they might have their own song that they created theirself,"30.3447
",HV_P,have
5,39,DCB_se1_ag2_m_02,44.4841,"it's just b- different bands, um,","46.9830
",BE_P,'s
6,41,DCB_se1_ag2_m_02,47.4715,doing their variation of songs that's out today that's-,"50.3164
",BE_P,'s
7,41,DCB_se1_ag2_m_02,47.4715,doing their variation of songs that's out today that's-,"50.3164
",BE_P,'s
8,47,DCB_se1_ag2_m_02,55.9674,but it's just- it's unique,"57.3894
",BE_P,'s
9,47,DCB_se1_ag2_m_02,55.9674,but it's just- it's unique,"57.3894
",BE_P,'s
10,71,DCB_se1_ag2_m_02,84.0024,You know what I mean? So it's like a different- different styles,"86.8735
",BE_P,'s
11,73,DCB_se1_ag2_m_02,87.4437,"of music. Like it's slowing it down,","89.7789
",BE_P,'s
12,79,DCB_se1_ag2_m_02,92.8806,"and- and making it a little slower and then speeding it back up so it's like a fast pace, slow,","97.3227
",BE_P,'s
13,87,DCB_se1_ag2_m_02,103.1704,"but yeah, it's- it's- it's tight, though. I like go go music. It's","106.0981
",BE_P,'s
14,87,DCB_se1_ag2_m_02,103.1704,"but yeah, it's- it's- it's tight, though. I like go go music. It's","106.0981
",BE_P,'s
15,87,DCB_se1_ag2_m_02,103.1704,"but yeah, it's- it's- it's tight, though. I like go go music. It's","106.0981
",BE_P,'s
16,87,DCB_se1_ag2_m_02,103.1704,"but yeah, it's- it's- it's tight, though. I like go go music. It's","106.0981
",BE_P,'s
17,95,DCB_se1_ag2_m_02,109.3444,"It's just different instruments,","110.6186
",BE_P,'s
18,99,DCB_se1_ag2_m_02,112.2326,and just showing that- you know what I'm saying? Young black kids can do other things,"116.3142
",BE_P,'m
19,99,DCB_se1_ag2_m_02,112.2326,and just showing that- you know what I'm saying? Young black kids can do other things,"116.3142
",DO_P,do
20,101,DCB_se1_ag2_m_02,116.7885,and it's- it's like- it's like going and supporting,"119.5493
",BE_P,'s
21,101,DCB_se1_ag2_m_02,116.7885,and it's- it's like- it's like going and supporting,"119.5493
",BE_P,'s
22,101,DCB_se1_ag2_m_02,116.7885,and it's- it's like- it's like going and supporting,"119.5493
",BE_P,'s
23,103,DCB_se1_ag2_m_02,120.7669,"like, us, you know what I mean? And it's- it's tight","123.5002
",BE_P,'s
24,103,DCB_se1_ag2_m_02,120.7669,"like, us, you know what I mean? And it's- it's tight","123.5002
",BE_P,'s
25,105,DCB_se1_ag2_m_02,123.8291,"to go and be able to do that. Like, musicians, the people that","126.4918
",DO_P,do
26,111,DCB_se1_ag2_m_02,132.4670,"Every neighborhood had a band. You know, everybody wanted to have a band, so","135.7300
",HV_P,have
27,113,DCB_se1_ag2_m_02,136.5229,"you know what I mean? It's- it's- it's just tight to be able to see different people playing different instruments,","140.3709
",BE_P,'s
28,113,DCB_se1_ag2_m_02,136.5229,"you know what I mean? It's- it's- it's just tight to be able to see different people playing different instruments,","140.3709
",BE_P,'s
29,113,DCB_se1_ag2_m_02,136.5229,"you know what I mean? It's- it's- it's just tight to be able to see different people playing different instruments,","140.3709
",BE_P,'s
30,117,DCB_se1_ag2_m_02,143.1175,"And it's like, they local celebrities. Like they- they s- they, to us,","146.9726
",BE_P,'s
