,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,6,DCB_se1_ag2_f_03,7.8803,which is about,"8.5376
",BE_P,is
1,20,DCB_se1_ag2_f_03,29.2002,"My mother is currently a barber, my father works for","32.7712
",BE_P,is
2,73,DCB_se1_ag2_f_03,97.6300,"which is technically like, five minutes from where I currently live.","100.5863
",BE_P,is
3,93,DCB_se1_ag2_f_03,120.5890,It did not have a shower.,"121.8569
",DO_N,did not
4,93,DCB_se1_ag2_f_03,120.5890,It did not have a shower.,"121.8569
",HV_P,have
5,119,DCB_se1_ag2_f_03,149.1501,I have,"149.8675
",HV_P,have
6,123,DCB_se1_ag2_f_03,151.2463,"biological siblings on my mother's side, and I have","154.1291
",BE_P,'s
7,123,DCB_se1_ag2_f_03,151.2463,"biological siblings on my mother's side, and I have","154.1291
",HV_P,have
8,125,DCB_se1_ag2_f_03,154.9199,three biological siblings on my father's side.,"157.0662
",BE_P,'s
9,129,DCB_se1_ag2_f_03,162.2020,Closer to my mother's side.,"163.4132
",BE_P,'s
10,153,DCB_se1_ag2_f_03,180.6916,My brother and I are,"183.1782
",BE_P,are
11,182,DCB_se1_ag2_f_03,215.6139,"I don't ride bikes, so.","217.6501
",DO_N,don't
12,186,DCB_se1_ag2_f_03,221.2402,is pretty much it.,"222.3346
",BE_P,is
13,192,DCB_se1_ag2_f_03,228.0443,"So I hung out mostly where I went to elementary school, which is in Southeast which they considered Capers back then.","234.6783
",BE_P,is
14,194,DCB_se1_ag2_f_03,235.4999,And it was not safe.,"236.4408
",BE_N,not
15,222,DCB_se1_ag2_f_03,271.0295,"It's just like, everyday life.","272.4406
",BE_P,'s
16,236,DCB_se1_ag2_f_03,291.5853,if you're-,"292.0157
",BE_P,'re
17,238,DCB_se1_ag2_f_03,292.1992,"when I was at elementary school, you didn't really have to say cause obviously you're a younger kid.","296.0872
",DO_N,didn't
18,238,DCB_se1_ag2_f_03,292.1992,"when I was at elementary school, you didn't really have to say cause obviously you're a younger kid.","296.0872
",BE_P,'re
19,238,DCB_se1_ag2_f_03,292.1992,"when I was at elementary school, you didn't really have to say cause obviously you're a younger kid.","296.0872
",HV_P,have
20,240,DCB_se1_ag2_f_03,296.2707,"But in high school of course you would have to say,","299.1568
",HV_P,have
21,242,DCB_se1_ag2_f_03,299.5305,"oh this is my friend so and so, and they're like, oh okay, they with you?","302.3007
",BE_P,is
22,242,DCB_se1_ag2_f_03,299.5305,"oh this is my friend so and so, and they're like, oh okay, they with you?","302.3007
",BE_P,'re
23,246,DCB_se1_ag2_f_03,305.8909,That's it.,"306.2335
",BE_P,'s
24,250,DCB_se1_ag2_f_03,310.8231,"[Not you] can't come in, but like, they would just look at you funny like where are you from or why are you in this neighborhood or","316.7030
",BE_P,are
25,250,DCB_se1_ag2_f_03,310.8231,"[Not you] can't come in, but like, they would just look at you funny like where are you from or why are you in this neighborhood or","316.7030
",BE_P,are
26,253,DCB_se1_ag2_f_03,321.2149,Which is the same if I was to go to somebody else's neighborhood and,"324.7617
",BE_P,'s
27,253,DCB_se1_ag2_f_03,321.2149,Which is the same if I was to go to somebody else's neighborhood and,"324.7617
",BE_P,is
28,256,DCB_se1_ag2_f_03,326.3874,you don't belong here.,"327.3981
",DO_N,don't
