,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,4,DCB_se1_ag2_f_01,5.9050,That's me.,"6.6499
",BE_P,'s
1,19,DCB_se1_ag2_f_01,20.4079,I'm from Uptown.,"21.4301
",BE_P,'m
2,30,DCB_se1_ag2_f_01,30.7313,[So Uptown] is-,"32.2324
",BE_P,is
3,31,DCB_se1_ag2_f_01,32.3768,Do you know where,"33.6651
",DO_P,do
4,33,DCB_se1_ag2_f_01,34.0603,the Convention Center is?,"35.0902
",BE_P,is
5,35,DCB_se1_ag2_f_01,36.0812,Uptown is from the Convention Center up.,"38.2701
",BE_P,is
6,47,DCB_se1_ag2_f_01,52.6741,"[Yeah], all that's Uptown.","53.5330
",BE_P,'s
7,63,DCB_se1_ag2_f_01,74.2664,[I did] go to,"75.3266
",DO_P,did
8,72,DCB_se1_ag2_f_01,83.6597,[<laugh>] I am.,"84.8178
",BE_P,am
9,86,DCB_se1_ag2_f_01,105.6814,She's deceased.,"107.0457
",BE_P,'s
10,90,DCB_se1_ag2_f_01,109.9709,It's okay. Her birthday was yesterday.,"111.2668
",BE_P,'s
11,126,DCB_se1_ag2_f_01,151.2800,<sigh> [I don't think so.] I- Well-,"153.7340
",DO_N,don't
12,132,DCB_se1_ag2_f_01,160.3759,[Now I'm] not from Southeast.,"161.9949
",BE_N,not
13,132,DCB_se1_ag2_f_01,160.3759,[Now I'm] not from Southeast.,"161.9949
",BE_P,'m
14,140,DCB_se1_ag2_f_01,170.2244,[Cause] it's just- it's different.,"171.8091
",BE_P,'s
15,140,DCB_se1_ag2_f_01,170.2244,[Cause] it's just- it's different.,"171.8091
",BE_P,'s
16,142,DCB_se1_ag2_f_01,171.9982,It's different-,"172.7468
",BE_P,'s
17,146,DCB_se1_ag2_f_01,173.7387,"over here, it's so different than living Uptown.","175.7642
",BE_P,'s
18,158,DCB_se1_ag2_f_01,187.5461,It's- [It's- It's-] It's more apartments,"189.8414
",BE_P,'s
19,158,DCB_se1_ag2_f_01,187.5461,It's- [It's- It's-] It's more apartments,"189.8414
",BE_P,'s
20,158,DCB_se1_ag2_f_01,187.5461,It's- [It's- It's-] It's more apartments,"189.8414
",BE_P,'s
21,158,DCB_se1_ag2_f_01,187.5461,It's- [It's- It's-] It's more apartments,"189.8414
",BE_P,'s
22,169,DCB_se1_ag2_f_01,198.0063,what do you call them?,"198.5346
",DO_P,do
23,185,DCB_se1_ag2_f_01,210.1615,[It's- It's- It's- [always],"212.1481
",BE_P,'s
24,185,DCB_se1_ag2_f_01,210.1615,[It's- It's- It's- [always],"212.1481
",BE_P,'s
25,185,DCB_se1_ag2_f_01,210.1615,[It's- It's- It's- [always],"212.1481
",BE_P,'s
26,189,DCB_se1_ag2_f_01,213.1552,[Yeah. It's-] It's always- I,"214.8957
",BE_P,'s
27,189,DCB_se1_ag2_f_01,213.1552,[Yeah. It's-] It's always- I,"214.8957
",BE_P,'s
28,190,DCB_se1_ag2_f_01,216.2857,It's sirens. It's,"217.6234
",BE_P,'s
29,196,DCB_se1_ag2_f_01,223.1214,It's just,"223.6345
",BE_P,'s
30,204,DCB_se1_ag2_f_01,228.7297,but it's getting better. But,"229.8698
",BE_P,'s
31,206,DCB_se1_ag2_f_01,230.1206,it's just different. It's an adjustment.,"231.5485
",BE_P,'s
32,206,DCB_se1_ag2_f_01,230.1206,it's just different. It's an adjustment.,"231.5485
",BE_P,'s
33,231,DCB_se1_ag2_f_01,260.9950,"[No, it's not.]","261.7475
",BE_N,'s not
