,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,13,DCB_se1_ag2_m_02,10.5743,it's just- I don't know. It's just i-,"12.0467
",DO_N,don't
1,13,DCB_se1_ag2_m_02,10.5743,it's just- I don't know. It's just i-,"12.0467
",BE_P,'s
2,13,DCB_se1_ag2_m_02,10.5743,it's just- I don't know. It's just i-,"12.0467
",BE_P,'s
3,23,DCB_se1_ag2_m_02,22.1336,"that they don't even know if it's true or not but they going with it, so it's like","25.1935
",BE_N,not
4,23,DCB_se1_ag2_m_02,22.1336,"that they don't even know if it's true or not but they going with it, so it's like","25.1935
",DO_N,don't
5,23,DCB_se1_ag2_m_02,22.1336,"that they don't even know if it's true or not but they going with it, so it's like","25.1935
",BE_P,'s
6,23,DCB_se1_ag2_m_02,22.1336,"that they don't even know if it's true or not but they going with it, so it's like","25.1935
",BE_P,'s
7,29,DCB_se1_ag2_m_02,30.5223,And you don't even know nothing about sports yet,"32.3586
",DO_N,don't
8,35,DCB_se1_ag2_m_02,39.4913,"You don't even know the history, like","40.9141
",DO_N,don't
9,39,DCB_se1_ag2_m_02,46.2416,"You might not even wanna be a Redskin fan no more,","48.5777
",BE_N,not
10,45,DCB_se1_ag2_m_02,51.2364,I do- never even wanted to- How did I know I liked the Redskins? I just seen my father doing it so,"55.7386
",DO_P,do
11,45,DCB_se1_ag2_m_02,51.2364,I do- never even wanted to- How did I know I liked the Redskins? I just seen my father doing it so,"55.7386
",DO_P,did
12,47,DCB_se1_ag2_m_02,56.2454,I- I kind of feel like it's the same thing.,"58.0852
",BE_P,'s
13,49,DCB_se1_ag2_m_02,58.4894,"And- and when you don't give yourself that freedom of choice,","61.4051
",DO_N,don't
14,51,DCB_se1_ag2_m_02,62.5189,it- it just- it puts you in a box. Like- and- and- and I don't- I- I'd rather not be in a box.,"68.1524
",BE_N,not
15,51,DCB_se1_ag2_m_02,62.5189,it- it just- it puts you in a box. Like- and- and- and I don't- I- I'd rather not be in a box.,"68.1524
",DO_N,don't
16,67,DCB_se1_ag2_m_02,89.2822,nobody would have a answer for me.,"90.9104
",HV_P,have
17,69,DCB_se1_ag2_m_02,91.2077,"You know, and they might just have a lady in there,","93.2293
",HV_P,have
18,91,DCB_se1_ag2_m_02,117.5904,Ain't[AAQ] nobody else in here aksing no question.,"119.2134
",AI,ain't
19,98,DCB_se1_ag2_m_02,124.1708,boy why you aksing me all these questions? Ain't[AAQ] nobody else in here aksing no question.,"127.3650
",AI,ain't
20,102,DCB_se1_ag2_m_02,130.0505,"Yeah, it's like [you-]","131.0486
",BE_P,'s
21,104,DCB_se1_ag2_m_02,131.5512,"And I- just- That was just me being young. I- I ain't really know[AB0], but at some point, I- I kind of like","136.1213
",AI,ain't
22,127,DCB_se1_ag2_m_02,165.0223,"different situations, you know, it's like the same,","167.5487
",BE_P,'s
23,129,DCB_se1_ag2_m_02,167.9981,so I- I don't know. I just-,"169.3969
",DO_N,don't
24,137,DCB_se1_ag2_m_02,176.2383,"Like, you not about to come in there and tell her no different.","179.2681
",BE_N,not
25,141,DCB_se1_ag2_m_02,180.8713,"I don't care what facts or none of that, she not even about to hear it, so","184.1834
",BE_N,not
26,141,DCB_se1_ag2_m_02,180.8713,"I don't care what facts or none of that, she not even about to hear it, so","184.1834
",DO_N,don't
27,150,DCB_se1_ag2_m_02,193.7428,that's how far a belief can go.,"195.3646
",BE_P,'s
28,152,DCB_se1_ag2_m_02,198.8486,Whether it's true or not.,"199.7245
",BE_N,not
29,152,DCB_se1_ag2_m_02,198.8486,Whether it's true or not.,"199.7245
",BE_P,'s
30,168,DCB_se1_ag2_m_02,217.1723,"some people are really scared of the truth. Like even if you come at them, they been believing something for so long,","222.3865
",BE_P,are
31,170,DCB_se1_ag2_m_02,223.1050,they don't even like,"224.1321
",DO_N,don't
32,174,DCB_se1_ag2_m_02,226.3549,At- like they at this point they- they just feel like I don't even wanna hear it. Like I- I- I can't. Like they don't even wanna face that reality.,"232.5412
",DO_N,don't
33,174,DCB_se1_ag2_m_02,226.3549,At- like they at this point they- they just feel like I don't even wanna hear it. Like I- I- I can't. Like they don't even wanna face that reality.,"232.5412
",DO_N,don't
34,192,DCB_se1_ag2_m_02,255.8632,"[For me, it doesn't] change me because I- I- like I'm- I'm sure of myself when I'm around people. Like","260.7597
",DO_N,doesn't
35,192,DCB_se1_ag2_m_02,255.8632,"[For me, it doesn't] change me because I- I- like I'm- I'm sure of myself when I'm around people. Like","260.7597
",BE_P,'m
36,192,DCB_se1_ag2_m_02,255.8632,"[For me, it doesn't] change me because I- I- like I'm- I'm sure of myself when I'm around people. Like","260.7597
",BE_P,'m
37,192,DCB_se1_ag2_m_02,255.8632,"[For me, it doesn't] change me because I- I- like I'm- I'm sure of myself when I'm around people. Like","260.7597
",BE_P,'m
38,197,DCB_se1_ag2_m_02,265.9480,"Like your belief is your belief,","267.5266
",BE_P,is
39,205,DCB_se1_ag2_m_02,274.5989,is gonna like make me,"276.0467
",BE_P,is
40,209,DCB_se1_ag2_m_02,277.7923,make me feel no type of way. Like I'm /still gonna-/ still gonna talk to you the same way.,"281.2066
",BE_P,'m
41,211,DCB_se1_ag2_m_02,281.7282,Like I'm still gonna-,"282.7405
",BE_P,'m
42,213,DCB_se1_ag2_m_02,283.1220,"You know, I'm not about to- I'm not gonna act different.","285.2789
",BE_N,'m not
43,213,DCB_se1_ag2_m_02,283.1220,"You know, I'm not about to- I'm not gonna act different.","285.2789
",BE_N,'m not
44,215,DCB_se1_ag2_m_02,285.7128,"Like if somebody gonna be acting different, it's gonna be the other person. Like I- I- I wouldn't act different at all.","290.2949
",BE_P,'s
45,223,DCB_se1_ag2_m_02,300.0715,"he- This is like a church he was really,","301.9793
",BE_P,is
46,237,DCB_se1_ag2_m_02,313.6578,"and I shook his hand. I'm like,","314.8541
",BE_P,'m
47,239,DCB_se1_ag2_m_02,315.3638,hey what's up with you? How you doing?,"316.6593
",BE_P,'s
48,245,DCB_se1_ag2_m_02,324.9316,I spoke to him- Like I didn't disrespect[AB1] him. I- I- You know what I mean? I spoke to him,"328.6756
",DO_N,didn't
49,247,DCB_se1_ag2_m_02,329.1815,as if he was any other man. Like why would I have to speak to him,"332.1301
",HV_P,have
50,253,DCB_se1_ag2_m_02,335.8320,"Like, you- you know what I'm saying? That's how I feel. And they looking at me like","338.7904
",BE_P,'s
51,253,DCB_se1_ag2_m_02,335.8320,"Like, you- you know what I'm saying? That's how I feel. And they looking at me like","338.7904
",BE_P,'m
52,255,DCB_se1_ag2_m_02,339.5054,"I was doing something wrong. But it's like, even though I see a man in his robe","343.3650
",BE_P,'s
53,257,DCB_se1_ag2_m_02,343.9410,"and all these people were listen him, I- he don't- I- me, I don't feel like he's no more [important than I am.]","348.8589
",DO_N,don't
54,257,DCB_se1_ag2_m_02,343.9410,"and all these people were listen him, I- he don't- I- me, I don't feel like he's no more [important than I am.]","348.8589
",DO_N,don't
55,257,DCB_se1_ag2_m_02,343.9410,"and all these people were listen him, I- he don't- I- me, I don't feel like he's no more [important than I am.]","348.8589
",BE_P,'s
56,257,DCB_se1_ag2_m_02,343.9410,"and all these people were listen him, I- he don't- I- me, I don't feel like he's no more [important than I am.]","348.8589
",BE_P,am
57,259,DCB_se1_ag2_m_02,349.8348,"Yeah. So like that's just how I always carry myself, so,","353.3007
",BE_P,'s
58,261,DCB_se1_ag2_m_02,354.2166,I- that- that don't really affect me. People beliefs don't really affect me is the point of what I was saying.,"358.4469
",DO_N,don't
59,261,DCB_se1_ag2_m_02,354.2166,I- that- that don't really affect me. People beliefs don't really affect me is the point of what I was saying.,"358.4469
",DO_N,don't
60,261,DCB_se1_ag2_m_02,354.2166,I- that- that don't really affect me. People beliefs don't really affect me is the point of what I was saying.,"358.4469
",BE_P,is
61,290,DCB_se1_ag2_m_02,411.0562,I might wanna bring up or I might wanna have,"413.4176
",HV_P,have
62,298,DCB_se1_ag2_m_02,422.4545,I- I'm sure I could invest more time,"424.6106
",BE_P,'m
63,302,DCB_se1_ag2_m_02,428.6810,"Um, but for the most part, I do- I do research a couple times a week.","432.2445
",DO_P,do
64,302,DCB_se1_ag2_m_02,428.6810,"Um, but for the most part, I do- I do research a couple times a week.","432.2445
",DO_P,do
65,310,DCB_se1_ag2_m_02,438.8803,I- I definitely- I don't just try to keep it to myself.,"441.4167
",DO_N,don't
66,312,DCB_se1_ag2_m_02,441.8360,"If I see something that I- I find that's crazy that's- I need to share,","445.4938
",BE_P,'s
67,312,DCB_se1_ag2_m_02,441.8360,"If I see something that I- I find that's crazy that's- I need to share,","445.4938
",BE_P,'s
68,318,DCB_se1_ag2_m_02,452.3760,I don't-,"452.9041
",DO_N,don't
69,320,DCB_se1_ag2_m_02,453.1992,"Cause some things is so overwhelming, you got to share it.","455.7449
",BE_P,is
70,324,DCB_se1_ag2_m_02,457.4519,"like, how you feel about this? This is crazy right here.","459.8593
",BE_P,is
71,326,DCB_se1_ag2_m_02,460.4029,You know what I'm [saying? Like],"461.5057
",BE_P,'m
72,330,DCB_se1_ag2_m_02,465.9913,"I know I'm not tripping. Like,","467.4902
",BE_N,'m not
73,332,DCB_se1_ag2_m_02,468.0182,"this is- Everybody should be mad about this. You know what I [mean, sort of things?]","471.3134
",BE_P,is
74,335,DCB_se1_ag2_m_02,476.5604,I- Some stuff I don't wanna forget.,"478.2864
",DO_N,don't
75,349,DCB_se1_ag2_m_02,492.8647,"is- is the knowledge, and then what you do with the knowledge.","495.7739
",BE_P,is
76,349,DCB_se1_ag2_m_02,492.8647,"is- is the knowledge, and then what you do with the knowledge.","495.7739
",BE_P,is
77,349,DCB_se1_ag2_m_02,492.8647,"is- is the knowledge, and then what you do with the knowledge.","495.7739
",DO_P,do
78,353,DCB_se1_ag2_m_02,498.7172,I'm still in the awakening phase of-,"500.9352
",BE_P,'m
79,363,DCB_se1_ag2_m_02,511.0914,"Like just seeing things for what they are, and","513.3756
",BE_P,are
80,379,DCB_se1_ag2_m_02,534.7405,now I'm learning that there's different things in foods that make us wanna eat more food.,"539.2733
",BE_P,'s
81,379,DCB_se1_ag2_m_02,534.7405,now I'm learning that there's different things in foods that make us wanna eat more food.,"539.2733
",BE_P,'m
82,385,DCB_se1_ag2_m_02,543.1138,that our bodies just go through that don't have no v- nutritional value.,"546.5541
",DO_N,don't
83,385,DCB_se1_ag2_m_02,543.1138,that our bodies just go through that don't have no v- nutritional value.,"546.5541
",HV_P,have
84,391,DCB_se1_ag2_m_02,552.6162,knowledge and the things that I'm reading.,"554.1586
",BE_P,'m
85,405,DCB_se1_ag2_m_02,581.0941,"bigger wings and not even like, paying attention to it.","583.6957
",BE_N,not
86,407,DCB_se1_ag2_m_02,584.3449,"And it's just become a common, like, oh, this is a big wing. It's a good thing. You know what I mean? So that's whatchu-","589.5559
",BE_P,'s
87,407,DCB_se1_ag2_m_02,584.3449,"And it's just become a common, like, oh, this is a big wing. It's a good thing. You know what I mean? So that's whatchu-","589.5559
",BE_P,'s
88,407,DCB_se1_ag2_m_02,584.3449,"And it's just become a common, like, oh, this is a big wing. It's a good thing. You know what I mean? So that's whatchu-","589.5559
",BE_P,'s
89,407,DCB_se1_ag2_m_02,584.3449,"And it's just become a common, like, oh, this is a big wing. It's a good thing. You know what I mean? So that's whatchu-","589.5559
",BE_P,is
90,409,DCB_se1_ag2_m_02,589.9170,that's how you wanna-,"590.8109
",BE_P,'s
91,411,DCB_se1_ag2_m_02,591.0284,that's how they want you to view it.,"592.3641
",BE_P,'s
92,421,DCB_se1_ag2_m_02,601.2996,"Like, that's just an example. Like something like,","603.1759
",BE_P,'s
93,423,DCB_se1_ag2_m_02,603.8360,the chicken is being fed,"605.4108
",BE_P,is
94,425,DCB_se1_ag2_m_02,605.5615,"with hormones or- I mean, it just- it makes you- Even if you don't know","609.2070
",DO_N,don't
95,427,DCB_se1_ag2_m_02,609.4399,"what it is, it makes you wanna look and find out","611.3581
",BE_P,is
96,429,DCB_se1_ag2_m_02,611.7466,why is this chicken bigger than this chicken? You know what I mean?,"614.3783
",BE_P,is
97,433,DCB_se1_ag2_m_02,615.4788,"that's for anybody. Like I don't really know all the things that's in it, but it m- it makes me curious. /And/ like,","620.2500
",DO_N,don't
98,433,DCB_se1_ag2_m_02,615.4788,"that's for anybody. Like I don't really know all the things that's in it, but it m- it makes me curious. /And/ like,","620.2500
",BE_P,'s
99,433,DCB_se1_ag2_m_02,615.4788,"that's for anybody. Like I don't really know all the things that's in it, but it m- it makes me curious. /And/ like,","620.2500
",BE_P,'s
100,435,DCB_se1_ag2_m_02,620.7488,oh that chicken big and that chicken something ain't[AA0] right here.,"623.0320
",AI,ain't
