,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,18,DCB_se1_ag2_m_03,18.7256,"You know, it's like, [/we-/]","19.5590
",BE_P,'s
1,21,DCB_se1_ag2_m_03,22.8697,"cause it's not[AA1] really a y- a, you know, a neighborhood, it's more so a community, you know.","26.3672
",BE_P,'s
2,21,DCB_se1_ag2_m_03,22.8697,"cause it's not[AA1] really a y- a, you know, a neighborhood, it's more so a community, you know.","26.3672
",BE_P,'s
3,25,DCB_se1_ag2_m_03,28.0622,it's-,"28.4115
",BE_P,'s
4,29,DCB_se1_ag2_m_03,33.4183,And that's /what's it all-/ that's what it's about.,"34.9683
",BE_P,'s
5,29,DCB_se1_ag2_m_03,33.4183,And that's /what's it all-/ that's what it's about.,"34.9683
",BE_P,'s
6,29,DCB_se1_ag2_m_03,33.4183,And that's /what's it all-/ that's what it's about.,"34.9683
",BE_P,'s
7,29,DCB_se1_ag2_m_03,33.4183,And that's /what's it all-/ that's what it's about.,"34.9683
",BE_P,'s
8,35,DCB_se1_ag2_m_03,46.3084,I'm twenty-four.,"46.8631
",BE_P,'m
9,41,DCB_se1_ag2_m_03,56.8069,"Yeah, yeah, yeah, yeah, I mean, you know, I just- I'm- uh, I'm a little under the weather right now so please excuse me or whatnot, but.","62.2831
",BE_P,'m
10,41,DCB_se1_ag2_m_03,56.8069,"Yeah, yeah, yeah, yeah, I mean, you know, I just- I'm- uh, I'm a little under the weather right now so please excuse me or whatnot, but.","62.2831
",BE_P,'m
11,43,DCB_se1_ag2_m_03,62.6234,"Like I said man, it's just- you know, it's just a sight to see, you know, when you-","66.0167
",BE_P,'s
12,43,DCB_se1_ag2_m_03,62.6234,"Like I said man, it's just- you know, it's just a sight to see, you know, when you-","66.0167
",BE_P,'s
13,45,DCB_se1_ag2_m_03,66.2703,"You just gotta come around, you know, it's a vibe, you know.","68.4425
",BE_P,'s
14,47,DCB_se1_ag2_m_03,68.7402,It's just-,"69.4409
",BE_P,'s
15,55,DCB_se1_ag2_m_03,82.4419,"[/Nah/ yeah] I mean, it's a house.","83.5172
",BE_P,'s
16,81,DCB_se1_ag2_m_03,121.2087,"back then to now it's just things has changed from dog to Joe to,","125.3561
",BE_P,'s
17,81,DCB_se1_ag2_m_03,121.2087,"back then to now it's just things has changed from dog to Joe to,","125.3561
",HV_P,has
18,87,DCB_se1_ag2_m_03,130.7522,"And it's just like, you know,","132.3304
",BE_P,'s
19,89,DCB_se1_ag2_m_03,133.8994,[what's] relevant [/I guess/.],"135.0739
",BE_P,'s
20,91,DCB_se1_ag2_m_03,136.8990,"Mo is like, what up Mo? Like, what up, you know,","138.8175
",BE_P,is
21,101,DCB_se1_ag2_m_03,146.6401,"it's a- it's a lot of- lot of phrases out here, you know, it's just like-","149.0791
",BE_P,'s
22,101,DCB_se1_ag2_m_03,146.6401,"it's a- it's a lot of- lot of phrases out here, you know, it's just like-","149.0791
",BE_P,'s
23,101,DCB_se1_ag2_m_03,146.6401,"it's a- it's a lot of- lot of phrases out here, you know, it's just like-","149.0791
",BE_P,'s
24,103,DCB_se1_ag2_m_03,149.2326,"Man, my man he told me, he said something yesterday, I ain't[AB0] know what he was talking about, but","152.7335
",AI,ain't
25,107,DCB_se1_ag2_m_03,157.2154,"It was just crazy, I was just like, man [what are you talking about?]","159.1539
",BE_P,are
26,109,DCB_se1_ag2_m_03,160.6420,"Yeah, nah he- he said something, I was just like, man what are you talking about? Like it was something new to me.","164.3198
",BE_P,are
27,118,DCB_se1_ag2_m_03,176.6001,"I mean, you know, I don't use that on my, you know, daily vocabulary but, you know, I- like I said man, it just like- you know, it's in the moment.","183.4813
",DO_N,don't
28,118,DCB_se1_ag2_m_03,176.6001,"I mean, you know, I don't use that on my, you know, daily vocabulary but, you know, I- like I said man, it just like- you know, it's in the moment.","183.4813
",BE_P,'s
29,120,DCB_se1_ag2_m_03,184.1316,I don't think none of it's gonna last.,"185.4829
",DO_N,don't
30,120,DCB_se1_ag2_m_03,184.1316,I don't think none of it's gonna last.,"185.4829
",BE_P,'s
31,130,DCB_se1_ag2_m_03,195.5477,"Right now I'm just self employed,","196.8189
",BE_P,'m
32,132,DCB_se1_ag2_m_03,196.9724,"I do landscaping,","197.8230
",DO_P,do
33,138,DCB_se1_ag2_m_03,203.7531,That's correct.,"204.1702
",BE_P,'s
34,146,DCB_se1_ag2_m_03,213.2607,"Well, you know, as a young boy, you know, that's the first dollar I made. So I told myself,","216.9218
",BE_P,'s
35,156,DCB_se1_ag2_m_03,227.4295,"Yeah, I would say I'm just starting. You know, I'm more so residential than commercial but, you know.","231.5577
",BE_P,'m
36,156,DCB_se1_ag2_m_03,227.4295,"Yeah, I would say I'm just starting. You know, I'm more so residential than commercial but, you know.","231.5577
",BE_P,'m
37,160,DCB_se1_ag2_m_03,239.8466,"[Right], houses, apartments, you- I mean, not apartments, townhouses.","242.8172
",BE_N,not
38,163,DCB_se1_ag2_m_03,244.1749,"some things that I can manage, you know, like I said I'm just starting, I don't really have the big","247.4214
",DO_N,don't
39,163,DCB_se1_ag2_m_03,244.1749,"some things that I can manage, you know, like I said I'm just starting, I don't really have the big","247.4214
",BE_P,'m
40,163,DCB_se1_ag2_m_03,244.1749,"some things that I can manage, you know, like I said I'm just starting, I don't really have the big","247.4214
",HV_P,have
41,179,DCB_se1_ag2_m_03,268.7822,"You know, I'm'a get the job done.","269.9800
",BE_P,'m
42,181,DCB_se1_ag2_m_03,270.2803,"It's like,","270.6507
",BE_P,'s
43,183,DCB_se1_ag2_m_03,271.3213,"you know, I try to do work twenty-four, you know,","273.4442
",DO_P,do
44,185,DCB_se1_ag2_m_03,273.7712,"three sixty-five, all year round. So I do landscaping in the summer,","276.9685
",DO_P,do
45,193,DCB_se1_ag2_m_03,281.3661,"Try to get you, you know, gutters and everything. You know, I do it all. I guess you could call it a enterprise, you know what I mean.","286.4385
",DO_P,do
46,206,DCB_se1_ag2_m_03,305.8165,"You know, you [ask who's who I'm not] gonna tell you but, [you know.]","308.7869
",BE_N,'m not
47,206,DCB_se1_ag2_m_03,305.8165,"You know, you [ask who's who I'm not] gonna tell you but, [you know.]","308.7869
",BE_P,'s
48,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
49,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
50,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
51,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
52,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
53,213,DCB_se1_ag2_m_03,316.4552,"I mean, it's the best relationship, I mean that's the /unintelligible/ like that's a good relationship. And it's like, m- only me and him cause like it- we- just it's- it's that one","323.2159
",BE_P,'s
54,217,DCB_se1_ag2_m_03,325.7459,It's like-,"326.2197
",BE_P,'s
55,219,DCB_se1_ag2_m_03,327.8880,"It's like I can't even put it in words but it's just like something rare. And I feel like it's a /blessing-/ strong bond, you know what I mean. Only, you know,","333.8179
",BE_P,'s
56,219,DCB_se1_ag2_m_03,327.8880,"It's like I can't even put it in words but it's just like something rare. And I feel like it's a /blessing-/ strong bond, you know what I mean. Only, you know,","333.8179
",BE_P,'s
57,219,DCB_se1_ag2_m_03,327.8880,"It's like I can't even put it in words but it's just like something rare. And I feel like it's a /blessing-/ strong bond, you know what I mean. Only, you know,","333.8179
",BE_P,'s
58,221,DCB_se1_ag2_m_03,334.2650,"us can see really eye to eye, understand what's going on and, you know-","337.4026
",BE_P,'s
59,227,DCB_se1_ag2_m_03,346.2517,"[Yeah like it-] it's true like, you know what I'm saying, I might be thinking something and","349.1250
",BE_P,'s
60,227,DCB_se1_ag2_m_03,346.2517,"[Yeah like it-] it's true like, you know what I'm saying, I might be thinking something and","349.1250
",BE_P,'m
61,238,DCB_se1_ag2_m_03,361.1211,"rapping and stuff, I'm like, damn I was just thinking the same thing.","363.3441
",BE_P,'m
62,248,DCB_se1_ag2_m_03,378.5806,"Right now he's in school, he trying to become a, uh, registered nurse.","381.7712
",BE_P,'s
63,250,DCB_se1_ag2_m_03,381.9347,"He's going to- uh,","383.1659
",BE_P,'s
64,252,DCB_se1_ag2_m_03,383.8099,I don't even know what school he going to. It's-,"385.5716
",DO_N,don't
65,252,DCB_se1_ag2_m_03,383.8099,I don't even know what school he going to. It's-,"385.5716
",BE_P,'s
66,258,DCB_se1_ag2_m_03,394.4585,I'm not sure what school.,"395.2065
",BE_N,'m not
67,262,DCB_se1_ag2_m_03,404.2764,"I'm more so I guess, uh,","406.7588
",BE_P,'m
68,264,DCB_se1_ag2_m_03,407.4428,"day and he's more so night, you know what I mean.","409.9294
",BE_P,'s
69,266,DCB_se1_ag2_m_03,410.9871,"And it's like,","411.7011
",BE_P,'s
70,270,DCB_se1_ag2_m_03,415.1153,"but when you do,","415.9227
",DO_P,do
71,272,DCB_se1_ag2_m_03,416.5634,"it's a celebration, you know.","418.1649
",BE_P,'s
72,282,DCB_se1_ag2_m_03,433.8894,"She was- you know, she did hair and whatnot.","436.2083
",DO_P,did
73,291,DCB_se1_ag2_m_03,452.4232,Yeah I don't know.,"453.0538
",DO_N,don't
74,293,DCB_se1_ag2_m_03,453.9147,"Yeah, you know, that tough love for [real, you know what I'm saying.]","456.5005
",BE_P,'m
75,298,DCB_se1_ag2_m_03,458.6067,"I was about to say I never understood like what she was saying or what she was- you know, like what she trying to- what was sh- the point she was trying to get across until like, later, you know what I'm saying, [/which is ?/.]","466.5230
",BE_P,is
76,298,DCB_se1_ag2_m_03,458.6067,"I was about to say I never understood like what she was saying or what she was- you know, like what she trying to- what was sh- the point she was trying to get across until like, later, you know what I'm saying, [/which is ?/.]","466.5230
",BE_P,'m
