,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,12,DCB_se2_ag2_f_01,11.7158,"They kind of refer to it as Hillcrest. It's not like a neighborhood. It's more for like, older","16.2401
",BE_N,'s not
1,12,DCB_se2_ag2_f_01,11.7158,"They kind of refer to it as Hillcrest. It's not like a neighborhood. It's more for like, older","16.2401
",BE_P,'s
2,12,DCB_se2_ag2_f_01,11.7158,"They kind of refer to it as Hillcrest. It's not like a neighborhood. It's more for like, older","16.2401
",BE_P,'s
3,17,DCB_se2_ag2_f_01,19.4598,It's off of Alabama Avenue,"21.2775
",BE_P,'s
4,19,DCB_se2_ag2_f_01,22.9682,And it's all houses. It's right before the borderline of Maryland.,"26.3769
",BE_P,'s
5,19,DCB_se2_ag2_f_01,22.9682,And it's all houses. It's right before the borderline of Maryland.,"26.3769
",BE_P,'s
6,23,DCB_se2_ag2_f_01,31.0817,Now I do. I live in Northeast now.,"32.9235
",DO_P,do
7,41,DCB_se2_ag2_f_01,55.8901,[Mm-hm. We're premier.],"57.1537
",BE_P,'re
8,48,DCB_se2_ag2_f_01,67.2223,[I- It has-],"67.8898
",HV_P,has
9,51,DCB_se2_ag2_f_01,71.4947,"[I know, that's] what everybody says. [/But I don't know/.]","73.7826
",DO_N,don't
10,51,DCB_se2_ag2_f_01,71.4947,"[I know, that's] what everybody says. [/But I don't know/.]","73.7826
",BE_P,'s
11,62,DCB_se2_ag2_f_01,86.5116,I have no idea.,"87.7248
",HV_P,have
12,74,DCB_se2_ag2_f_01,99.5313,"My mom, um, she's a patient","101.6722
",BE_P,'s
13,86,DCB_se2_ag2_f_01,114.3425,So my grandfather would have been my father figure.,"116.6178
",HV_P,have
14,88,DCB_se2_ag2_f_01,117.4657,I don't know if you want to use him.,"118.6905
",DO_N,don't
15,113,DCB_se2_ag2_f_01,146.9202,"because if they didn't, I wouldn't have been able to get insurance and stuff like that.","149.5984
",DO_N,didn't
16,113,DCB_se2_ag2_f_01,146.9202,"because if they didn't, I wouldn't have been able to get insurance and stuff like that.","149.5984
",HV_P,have
17,136,DCB_se2_ag2_f_01,182.3021,I think it- it may have been both,"184.2404
",HV_P,have
18,138,DCB_se2_ag2_f_01,184.5427,"because I'm not gonna say that I was spoiled, but I was spoiled.","187.2125
",BE_N,'m not
19,140,DCB_se2_ag2_f_01,187.4938,So even when my mom tried to do,"189.0711
",DO_P,do
20,144,DCB_se2_ag2_f_01,192.7611,"And she didn't like that, like, at the end of the day, she's still my child.","195.6272
",DO_N,didn't
21,144,DCB_se2_ag2_f_01,192.7611,"And she didn't like that, like, at the end of the day, she's still my child.","195.6272
",BE_P,'s
22,156,DCB_se2_ag2_f_01,206.2331,"and then after- because she was still young, I think it may have been like a type of","209.1884
",HV_P,have
23,182,DCB_se2_ag2_f_01,240.1751,"I don't want to say they kept me sheltered in, but I didn't live in a neighborhood. So,","243.9228
",DO_N,don't
24,182,DCB_se2_ag2_f_01,240.1751,"I don't want to say they kept me sheltered in, but I didn't live in a neighborhood. So,","243.9228
",DO_N,didn't
25,184,DCB_se2_ag2_f_01,244.3888,"I lived in a five bedroom, four bathroom house. I'm talking about you go outside, you could hear","248.8459
",BE_P,'m
26,192,DCB_se2_ag2_f_01,257.6981,"I'm like, well dad,","258.7308
",BE_P,'m
27,198,DCB_se2_ag2_f_01,263.1501,everybody's outside playing. And I want to hang in the neighborhood.,"265.9701
",BE_P,'s
28,206,DCB_se2_ag2_f_01,272.2533,and I used to have to beg,"273.3027
",HV_P,have
29,212,DCB_se2_ag2_f_01,276.7230,"So I didn't live in a neighborhood essentially,","278.6204
",DO_N,didn't
30,241,DCB_se2_ag2_f_01,307.4452,"So it was interesting. Um, I'm not gonna say I was scared, almost- because I knew my best friend kind of knew everybody in the neighborhood. And I had went to school","315.1892
",BE_N,'m not
31,253,DCB_se2_ag2_f_01,333.9338,"But my grandfather didn't see the fun in it, and so it wasn't like I could go over there all the time. It was one of those things where it's, you can go, but it won't be","340.2002
",DO_N,didn't
32,253,DCB_se2_ag2_f_01,333.9338,"But my grandfather didn't see the fun in it, and so it wasn't like I could go over there all the time. It was one of those things where it's, you can go, but it won't be","340.2002
",BE_P,'s
33,261,DCB_se2_ag2_f_01,350.9814,So I did /RD-SCHOOL-3/.,"352.5011
",DO_P,did
34,263,DCB_se2_ag2_f_01,352.7194,I did /RD-SCHOOL-2/. I did /RD-SCHOOL-3/.,"354.8225
",DO_P,did
35,263,DCB_se2_ag2_f_01,352.7194,I did /RD-SCHOOL-2/. I did /RD-SCHOOL-3/.,"354.8225
",DO_P,did
36,267,DCB_se2_ag2_f_01,356.2613,I got put out of /RD-SCHOOL-3/ and that's when I had to go to my neighborhood school,"360.5012
",BE_P,'s
37,269,DCB_se2_ag2_f_01,361.1267,"which was /RD-SCHOOL-2/, and that's how I met my best friend.","363.4932
",BE_P,'s
38,294,DCB_se2_ag2_f_01,394.3162,"I couldn't get on the computer or something, and I was just like, well I don't care. I got five computers at home. I'm not pressed to get on your computer. And it ended up /to/","401.0737
",BE_N,'m not
39,294,DCB_se2_ag2_f_01,394.3162,"I couldn't get on the computer or something, and I was just like, well I don't care. I got five computers at home. I'm not pressed to get on your computer. And it ended up /to/","401.0737
",DO_N,don't
40,322,DCB_se2_ag2_f_01,429.6309,not doing [anything.],"430.6174
",BE_N,not
41,324,DCB_se2_ag2_f_01,432.3543,"[So /RD-SCHOOL-2/] is in Southeast,","434.5875
",BE_P,is
