,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,2,DCB_se2_ag2_m_01,4.0580,My name is /RD-NAME-7/.,"5.4475
",BE_P,is
1,23,DCB_se2_ag2_m_01,33.0601,"The neighborhood that I grew in is called uh, Fifteenth Place.","35.9138
",BE_P,is
2,25,DCB_se2_ag2_m_01,37.4421,It's in Southeast DC.,"38.6918
",BE_P,'s
3,46,DCB_se2_ag2_m_01,73.4468,"I went to high school. It's called the n- uh, /RD-SCHOOL-3/.","76.0114
",HV_P,'s
4,48,DCB_se2_ag2_m_01,77.3030,It's in Northeast DC off of Benning Road.,"79.1810
",BE_P,'s
5,66,DCB_se2_ag2_m_01,110.0996,I am a lead legal assistant for /RD-WORK-6/.,"112.4683
",BE_P,am
6,72,DCB_se2_ag2_m_01,123.9274,I do a variety of things but what my,"126.6039
",DO_P,do
7,74,DCB_se2_ag2_m_01,127.6380,office focus on is we,"129.4518
",BE_P,is
8,76,DCB_se2_ag2_m_01,130.6735,"A- The ALJ issue a favorable decision. We look- We look at the ALJ's decision,","134.8037
",BE_P,'s
9,86,DCB_se2_ag2_m_01,147.1954,"So what I do personally, is I would mail out the-","149.9325
",BE_P,is
10,86,DCB_se2_ag2_m_01,147.1954,"So what I do personally, is I would mail out the-","149.9325
",DO_P,do
11,115,DCB_se2_ag2_m_01,182.3514,I'm not sure where my other grandparents was [born.],"184.4217
",BE_N,'m not
12,119,DCB_se2_ag2_m_01,186.6972,"[Nah], I'm not [sure.]","187.5587
",BE_N,'m not
13,123,DCB_se2_ag2_m_01,190.7341,mother's father is from DC. I [do know that.],"193.3489
",BE_P,'s
14,123,DCB_se2_ag2_m_01,190.7341,mother's father is from DC. I [do know that.],"193.3489
",BE_P,is
15,123,DCB_se2_ag2_m_01,190.7341,mother's father is from DC. I [do know that.],"193.3489
",DO_P,do
16,132,DCB_se2_ag2_m_01,212.0576,"I do not know the name of the company, but he delivers uh,","215.1678
",DO_N,do not
17,142,DCB_se2_ag2_m_01,223.9177,Mommy works for the army. She's a,"225.8528
",BE_P,'s
18,162,DCB_se2_ag2_m_01,258.6879,"[Okay, now], Fifteen Place- You- you said what do I claim, so","262.3751
",DO_P,do
19,163,DCB_se2_ag2_m_01,262.8414,my house is actually off of S-,"264.1377
",BE_P,is
20,167,DCB_se2_ag2_m_01,265.8058,but Fifteenth Place is like a big neighborhood.,"268.2165
",BE_P,is
21,169,DCB_se2_ag2_m_01,268.3611,It's a-,"268.9160
",BE_P,'s
22,183,DCB_se2_ag2_m_01,282.7753,So what do you wanna know about my neighborhood?,"284.7058
",DO_P,do
23,191,DCB_se2_ag2_m_01,292.1746,"I don't wanna talk about the bad stuff unless you aks that specifically, but um, just growing up,","296.4446
",DO_N,don't
24,199,DCB_se2_ag2_m_01,306.5935,"growing up- I remember five years old, I was just playing football all the time. I'm a very","309.9601
",BE_P,'m
25,205,DCB_se2_ag2_m_01,316.1606,"growing up, uh, we didn't have a basketball court til I turned eight.","318.6506
",DO_N,didn't
26,205,DCB_se2_ag2_m_01,316.1606,"growing up, uh, we didn't have a basketball court til I turned eight.","318.6506
",HV_P,have
27,207,DCB_se2_ag2_m_01,319.0318,"So, that's when I discovered basketball, so I would play basketball all the time, so.","322.5336
",BE_P,'s
28,211,DCB_se2_ag2_m_01,326.1089,[Of course I'm] a diehard Redskin fan.,"327.9274
",BE_P,'m
29,213,DCB_se2_ag2_m_01,330.2915,I am not a Wizards fan.,"331.3942
",BE_N,am not
30,218,DCB_se2_ag2_m_01,334.3471,My basketball team is the Lakers.,"335.4429
",BE_P,is
31,232,DCB_se2_ag2_m_01,344.8876,"So the f- f- uh- the professional football teams, I didn't discover until I was eight.","348.4967
",DO_N,didn't
32,236,DCB_se2_ag2_m_01,352.1326,and then that's when I became a Laker's fan.,"353.7273
",BE_P,'s
33,236,DCB_se2_ag2_m_01,352.1326,and then that's when I became a Laker's fan.,"353.7273
",BE_P,'s
34,257,DCB_se2_ag2_m_01,369.4985,I have four sisters.,"370.4077
",HV_P,have
35,262,DCB_se2_ag2_m_01,375.3726,"[Um], to be honest with you, it wasn't that bad because my sisters are way older than me.","379.2754
",BE_P,are
36,265,DCB_se2_ag2_m_01,380.4353,"older than me is- She's nine years,","382.2072
",BE_P,'s
37,265,DCB_se2_ag2_m_01,380.4353,"older than me is- She's nine years,","382.2072
",BE_P,is
38,285,DCB_se2_ag2_m_01,400.1046,to probably six years old? So that's the only time I experienced a lot of,"402.9478
",BE_P,'s
39,293,DCB_se2_ag2_m_01,417.8948,"too much. Like, it's- it's just probably just me and my little sister","420.5527
",BE_P,'s
40,293,DCB_se2_ag2_m_01,417.8948,"too much. Like, it's- it's just probably just me and my little sister","420.5527
",BE_P,'s
41,319,DCB_se2_ag2_m_01,444.3568,"I go back there all the time. My- my friends, they- What they did was they- they","447.7278
",DO_P,did
42,325,DCB_se2_ag2_m_01,453.7456,he's-,"454.0440
",BE_P,'s
43,341,DCB_se2_ag2_m_01,473.7320,we- we- we all- It's a group us. It's-,"475.8664
",BE_P,'s
44,341,DCB_se2_ag2_m_01,473.7320,we- we- we all- It's a group us. It's-,"475.8664
",BE_P,'s
45,343,DCB_se2_ag2_m_01,477.1394,"it's me,","477.6850
",BE_P,'s
46,345,DCB_se2_ag2_m_01,478.2212,"Fat Man, which is named /RD-NAME-4/,","480.5060
",BE_P,is
47,355,DCB_se2_ag2_m_01,488.7897,I used to live in North- My family's from Northwest.,"490.8087
",BE_P,'s
48,357,DCB_se2_ag2_m_01,491.2750,And me and my- me and my sister are the only two that grew up in Southeast.,"494.0157
",BE_P,are
49,364,DCB_se2_ag2_m_01,499.2136,what's that- Rand- Randolph Street. My grandmother still has a house off Randolph Street.,"502.1233
",BE_P,'s
50,364,DCB_se2_ag2_m_01,499.2136,what's that- Rand- Randolph Street. My grandmother still has a house off Randolph Street.,"502.1233
",HV_P,has
51,370,DCB_se2_ag2_m_01,507.7876,So I don't recall any of that.,"509.0232
",DO_N,don't
