,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,10,DCB_se1_ag2_m_03,9.6363,"/I've/ have to say Godfather,","11.4547
",HV_P,have
1,10,DCB_se1_ag2_m_03,9.6363,"/I've/ have to say Godfather,","11.4547
",HV_P,'ve
2,14,DCB_se1_ag2_m_03,14.1586,Well I'm just gonna say all the Godfellas-,"15.7798
",BE_P,'m
3,30,DCB_se1_ag2_m_03,33.8832,"the fifth one have to be, uh-","35.2679
",HV_P,have
4,65,DCB_se1_ag2_m_03,87.6997,"would have to be,","89.4480
",HV_P,have
5,67,DCB_se1_ag2_m_03,93.6329,"um, I can't even- What was it? I can't even- Inspirational I'd have to say, uh,","98.2307
",HV_P,have
6,83,DCB_se1_ag2_m_03,130.8942,"[Oh] yeah, yeah, if it got anything to do with action,","133.1497
",DO_P,do
7,84,DCB_se1_ag2_m_03,133.4667,"uh, anything, you know, gotta do with action or drama or comedy I'm there.","137.3379
",BE_P,'m
8,84,DCB_se1_ag2_m_03,133.4667,"uh, anything, you know, gotta do with action or drama or comedy I'm there.","137.3379
",DO_P,do
9,95,DCB_se1_ag2_m_03,156.2388,"Nah, nah, nah, I ain't[AA0] really with the superhero person, you know what I'm saying. I was more so like try to be like","160.4404
",BE_P,'m
10,95,DCB_se1_ag2_m_03,156.2388,"Nah, nah, nah, I ain't[AA0] really with the superhero person, you know what I'm saying. I was more so like try to be like","160.4404
",AI,ain't
11,99,DCB_se1_ag2_m_03,161.6149,"I guess, realistic with it, you know what I'm saying, w- with the movie, and the situation and the plot or somewhats- You know what I'm saying, just try to use that movie","168.8427
",BE_P,'m
12,99,DCB_se1_ag2_m_03,161.6149,"I guess, realistic with it, you know what I'm saying, w- with the movie, and the situation and the plot or somewhats- You know what I'm saying, just try to use that movie","168.8427
",BE_P,'m
13,101,DCB_se1_ag2_m_03,169.1731,"add to my, you know, everyday life. You know, I don't got time to be, you know, games or whatever the case may be, you know.","174.0153
",DO_N,don't
14,103,DCB_se1_ag2_m_03,174.7026,"So I ain't[AA0] really looking at superhero whole little, you know, thing.","178.0333
",AI,ain't
15,109,DCB_se1_ag2_m_03,183.4861,"I was watching like, Disney. You know what I'm saying, /?/ I wasn't- you know, nah, not really.","187.6735
",BE_N,not
16,109,DCB_se1_ag2_m_03,183.4861,"I was watching like, Disney. You know what I'm saying, /?/ I wasn't- you know, nah, not really.","187.6735
",BE_P,'m
