Line	Spkr	StTime	Content	EnTime
30	DCB_se1_ag2_m_03	33.8832	the fifth one have to be, uh-	35.2679
31	DCB_se1_ag3_m_01	36.0253	Cause you said,	36.6559
32	DCB_se1_ag3_m_01	36.6559	(pause 0.22)	36.8794
33	DCB_se1_ag3_m_01	36.8794	the g- you said Godfather.	38.2074
34	DCB_se1_ag2_m_03	38.4118	Yeah I said all of 'em though.	39.5162
35	DCB_se1_ag3_m_01	39.5529	Right, right, all the Godfather, [Godfather] the whole [series.]	41.8751
36	DCB_se1_ag2_m_03	40.6973	[Yeah.]	40.9843
37	DCB_se1_ag2_m_03	40.9843	(pause 0.78)	41.7650
38	DCB_se1_ag2_m_03	41.7650	[Ah] yeah, so I guess the Godfathers, uh, Scarface,	44.7746
39	DCB_se1_ag2_m_03	45.4628	uh, Paid in Full,	46.6139
40	DCB_se1_ag2_m_03	46.6139	(pause 1.04)	47.6582
41	DCB_se1_ag2_m_03	47.6582	uh,	48.3189
42	DCB_se1_ag2_m_03	48.3189	(pause 0.38)	48.7026
43	DCB_se1_ag2_m_03	48.7026	uh, uh,	50.0005
44	DCB_se1_ag2_m_03	50.0005	(pause 0.43)	50.4309
45	DCB_se1_ag2_m_03	50.4309	Belly,	50.9414
46	DCB_se1_ag2_m_03	50.9414	(pause 0.46)	51.4061
47	DCB_se1_ag2_m_03	51.4061	and, uh-	52.4437
48	DCB_se1_ag3_m_01	52.4237	Oh, Belly yeah.	53.4650
49	DCB_se1_ag2_m_03	54.2388	Hold on, I said Godfather, Paid in Full,	55.9972
50	DCB_se1_ag2_m_03	55.9972	(pause 0.39)	56.3842
51	DCB_se1_ag2_m_03	56.3842	Goodfellas,	57.3385
52	DCB_se1_ag2_m_03	57.3385	(pause 1.11)	58.4504
53	DCB_se1_ag2_m_03	58.4504	uh, Scarface,	60.1087
54	DCB_se1_ag2_m_03	60.1087	(pause 1.28)	61.3899
55	DCB_se1_ag2_m_03	61.3899	and yeah, yeah, Belly.	62.6879
56	DCB_se1_ag3_m_01	64.0400	And Belly? Ah okay.	65.2312
57	DCB_se1_ag3_m_01	65.2312	(pause 2.36)	67.5868
58	DCB_se1_ag3_m_01	67.5868	What's the most inspirational movie that you've seen?	69.7764
59	DCB_se1_ag2_m_03	70.8074	Out of what, those five?	71.6683
60	DCB_se1_ag3_m_01	71.7316	No just period, like- like a movie that's made you like,	74.5944
61	DCB_se1_ag3_m_01	74.5944	(pause 0.84)	75.4394
62	DCB_se1_ag3_m_01	75.4394	think, you know, like- like wow that was a powerful movie or whatever.	78.8561
63	DCB_se1_ag2_m_03	79.6435	Uh, I think the powerful movie that I seen, um,	82.2769
64	DCB_se1_ag2_m_03	82.2769	(pause 5.42)	87.6997
65	DCB_se1_ag2_m_03	87.6997	would have to be,	89.4480
66	DCB_se1_ag2_m_03	89.4480	(pause 4.18)	93.6329
67	DCB_se1_ag2_m_03	93.6329	um, I can't even- What was it? I can't even- Inspirational I'd have to say, uh,	98.2307
68	DCB_se1_ag2_m_03	98.2307	(pause 0.85)	99.0791
69	DCB_se1_ag2_m_03	99.0791	Remember the Titans I guess.	100.4704
70	DCB_se1_ag3_m_01	102.5958	You said [Remember] the [Titans], oh man. (laughing)	104.9628
71	DCB_se1_ag2_m_03	103.0429	[<laugh>]	103.3099
72	DCB_se1_ag2_m_03	103.3099	(pause 0.48)	103.7903
73	DCB_se1_ag2_m_03	103.7903	[<laugh>]	104.0839
74	DCB_se1_ag2_m_03	105.0958	<laugh>	105.3393
75	DCB_se1_ag3_m_01	105.4127	Oh you talking about- oh that is a good [movie though.]	107.5048
76	DCB_se1_ag2_m_03	106.9943	[<laugh>]	107.7350
77	DCB_se1_ag3_m_01	108.1020	Yeah, with, um, Denzel?	109.4100
78	DCB_se1_ag2_m_03	109.4667	[Yeah, yeah, yeah.]	110.1707
79	DCB_se1_ag3_m_01	109.6936	[Yeah okay] I ain't know what you was talking about but okay yeah, that's a good movie, okay that's a good inspirational movie, that's a good one.	114.3322
80	DCB_se1_ag3_m_01	116.1373	Yeah that's a good one. Do you like Netflix it a lot or you like go out a lot to the movies and watch 'em?	120.5958
81	DCB_se1_ag2_m_03	120.5625	Nah yeah, h- to what, to movies or what?	122.9414
82	DCB_se1_ag3_m_01	123.1658	Like do you actually go to like- When is the last time you went- Like, what type of movie would actually have you going to the movies and seeing it instead of waiting for it to come out on Netflix or DVD or something like [that?]	131.0009
83	DCB_se1_ag2_m_03	130.8942	[Oh] yeah, yeah, if it got anything to do with action,	133.1497
84	DCB_se1_ag2_m_03	133.4667	uh, anything, you know, gotta do with action or drama or comedy I'm there.	137.3379
85	DCB_se1_ag3_m_01	138.2788	Ah okay, okay.	139.3362
86	DCB_se1_ag3_m_01	139.3362	(pause 3.93)	143.2679
87	DCB_se1_ag3_m_01	143.2679	Mkay.	143.9085
88	DCB_se1_ag3_m_01	143.9085	(pause 4.21)	148.1234
89	DCB_se1_ag3_m_01	148.1234	Are you a superhero person?	149.4347
90	DCB_se1_ag2_m_03	150.3756	Not [really.]	151.2098
91	DCB_se1_ag3_m_01	150.9362	[Like a-]	151.5067
92	DCB_se1_ag3_m_01	151.8537	you know what I'm saying, like if you was like,	153.4561
93	DCB_se1_ag3_m_01	153.4561	(pause 0.19)	153.6430
94	DCB_se1_ag3_m_01	153.6430	you- Did you follow growing up like superheroes? Cause I did.	155.9697
95	DCB_se1_ag2_m_03	156.2388	Nah, nah, nah, I ain't[AA0] really with the superhero person, you know what I'm saying. I was more so like try to be like	160.4404
96	DCB_se1_ag2_m_03	160.4404	(pause 0.29)	160.7340
97	DCB_se1_ag2_m_03	160.7340	more	161.2378
98	DCB_se1_ag2_m_03	161.2378	(pause 0.38)	161.6149
99	DCB_se1_ag2_m_03	161.6149	I guess, realistic with it, you know what I'm saying, w- with the movie, and the situation and the plot or somewhats- You know what I'm saying, just try to use that movie	168.8427
100	DCB_se1_ag2_m_03	168.8427	(pause 0.33)	169.1731
101	DCB_se1_ag2_m_03	169.1731	add to my, you know, everyday life. You know, I don't got time to be, you know, games or whatever the case may be, you know.	174.0153
102	DCB_se1_ag2_m_03	174.0153	(pause 0.69)	174.7026
103	DCB_se1_ag2_m_03	174.7026	So I ain't[AA0] really looking at superhero whole little, you know, thing.	178.0333
104	DCB_se1_ag2_m_03	178.0333	(pause 0.23)	178.2636
105	DCB_se1_ag2_m_03	178.2636	That wasn't for me.	179.0743
106	DCB_se1_ag3_m_01	179.1511	Were you a cartoon person?	180.2188
107	DCB_se1_ag2_m_03	180.6692	Not really either, like I was more so- People was watching Cartoon Network,	183.3927
108	DCB_se1_ag2_m_03	183.3927	(pause 0.09)	183.4861
109	DCB_se1_ag2_m_03	183.4861	I was watching like, Disney. You know what I'm saying, /?/ I wasn't- you know, nah, not really.	187.6735
110	DCB_se1_ag3_m_01	188.7546	What was your favorite on Disney?	189.8372
111	DCB_se1_ag2_m_03	190.7941	Uh, it probably have to be- Uh, what was that s- joint called? Uh, uh, Even Stevens I guess. You know what I'm saying, [it was just] crazy like-	198.6359
112	DCB_se1_ag3_m_01	197.4681	[<laugh>]	197.9352
113	DCB_se1_ag2_m_03	199.4033	like brother and sister and just I don't know that /joint/ was just crazy.	202.1334
114	DCB_se1_ag2_m_03	202.1334	(pause 0.40)	202.5372
115	DCB_se1_ag2_m_03	202.5372	The whole situ- the whole set up but	203.9452
116	DCB_se1_ag2_m_03	203.9452	(pause 0.56)	204.5091
117	DCB_se1_ag2_m_03	204.5091	I guess that joint.	205.2998
118	DCB_se1_ag3_m_01	206.1840	It's called Even Stevens?	208.1635
119	DCB_se1_ag2_m_03	208.1101	Yeah.	209.0009
120	DCB_se1_ag3_m_01	209.1678	I need to look that [joint up.] I- I mean, how it go though, man? I mean, what is it? Like what type of- like is it like a mouse or s- or- or- [you know what I'm saying, is it like a human or is it-]	217.5157
121	DCB_se1_ag2_m_03	210.1654	[<laugh>]	210.6192
122	DCB_se1_ag2_m_03	210.6192	(pause 4.96)	215.5815
123	DCB_se1_ag2_m_03	215.5815	[Nah, nah, it's a- it's like- it's like- it's like a family, /got/ a family, you know what I'm saying, it's like a family, like, you know they family, it's like,	221.4948
124	DCB_se1_ag2_m_03	221.9385	you know, the brother and sister like, you know, real close and he- I mean, they	225.0824
125	DCB_se1_ag2_m_03	225.0824	(pause 0.26)	225.3460
126	DCB_se1_ag2_m_03	225.3460	you know, close in age and they go to the same high school.	227.6816
127	DCB_se1_ag2_m_03	227.6816	(pause 0.49)	228.1721
128	DCB_se1_ag2_m_03	228.1721	And it's like from there, you know, it's like brother sister like rivalries, and it's just like- you know, its just crazy, it's like-	232.6506
129	DCB_se1_ag2_m_03	232.6506	(pause 0.79)	233.4380
130	DCB_se1_ag2_m_03	233.4380	You know what I'm saying /??/ [okay]	234.6926
131	DCB_se1_ag3_m_01	234.4590	[Yeah] okay.	235.1831
132	DCB_se1_ag2_m_03	235.7069	Give you a little run for your money at that age, you know [what I'm saying.]	238.4993
133	DCB_se1_ag3_m_01	237.8632	[<laugh>]	238.8100
134	DCB_se1_ag3_m_01	239.3313	Do you think you could relate to it more because you had a brother and a sister also?	242.9581
135	DCB_se1_ag3_m_01	242.9581	(pause 0.56)	243.5228
136	DCB_se1_ag3_m_01	243.5228	You know what I'm saying,	244.2936
137	DCB_se1_ag2_m_03	244.2869	Yeah, of [course.]	244.9096
138	DCB_se1_ag3_m_01	244.5672	[and you-]	244.8259
139	DCB_se1_ag3_m_01	245.0176	did you like s- find some similarities there?	247.0596
140	DCB_se1_ag2_m_03	247.6268	Yeah cause it's like- you know, I'm like, the middle-	249.8398
141	DCB_se1_ag2_m_03	249.8398	(pause 0.15)	249.9866
142	DCB_se1_ag2_m_03	249.9866	the middle child, my brother the youngest and my sister's the oldest and it's just like, you know what I'm saying-	254.3629
143	DCB_se1_ag2_m_03	254.3629	(pause 0.61)	254.9723
144	DCB_se1_ag2_m_03	254.9723	you know, it's like I'm the mi- I'm in the middle so it's like I don't get	258.0119
145	DCB_se1_ag2_m_03	258.0119	(pause 0.57)	258.5791
146	DCB_se1_ag2_m_03	258.5791	as much of- you know what I'm saying, it's not[AA1] balanced or nothing so it's like I'm just- [/I mean,/ always trying [to-]	262.9342
147	DCB_se1_ag3_m_01	261.7330	[Right.]	262.6339
148	DCB_se1_ag2_m_03	263.2946	trying to maintain what I got, you know what I'm saying, so it's just like it is what it is.	266.5778
149	DCB_se1_ag2_m_03	266.5778	(pause 0.66)	267.2359
150	DCB_se1_ag2_m_03	267.2359	/It/ be like, damn.	267.9199
151	DCB_se1_ag3_m_01	270.2522	Ah that's interesting cause I'm the middle child too and I understand what you mean by that.	273.1391
152	DCB_se1_ag2_m_03	273.1358	Mm-hm.	273.5695
153	DCB_se1_ag3_m_01	273.7564	Yeah I definitely understand what you mean [by that.]	275.3212
154	DCB_se1_ag2_m_03	275.1611	[/???/] they definitely treat my brother like the baby, /trying to-/ [I be like, god damn, cuz and-]	279.1525
155	DCB_se1_ag3_m_01	277.4433	[Ah yeah, that's just like they treat] my brother /RD-NAME-1/ like that /??/ <laugh>]	281.9986
156	DCB_se1_ag2_m_03	279.5062	[and we twins, you know what I'm saying, like. <laugh>]	282.2755
157	DCB_se1_ag3_m_01	282.4223	He [twi- you] twins and- <laugh>]	284.0439
158	DCB_se1_ag2_m_03	282.6859	[<laugh>]	283.0099
159	DCB_se1_ag2_m_03	283.0099	(pause 0.69)	283.7036
160	DCB_se1_ag2_m_03	283.7036	[He like] what, twenty-three minutes younger than /?/ younger than me? You know what I'm saying, but I'm like, damn this nigga really the baby.	288.4757
161	DCB_se1_ag2_m_03	288.5858	And so I'm like, yeah it's crazy.	289.6869
162	DCB_se1_ag2_m_03	289.6869	(pause 0.45)	290.1340
163	DCB_se1_ag2_m_03	290.1340	But it's cool, you know what I'm saying.	291.4094
164	DCB_se1_ag2_m_03	291.4094	(pause 0.59)	292.0000
165	DCB_se1_ag2_m_03	292.0000	I'm like, it's all good that joint crazy, it just throws me off though when I get to thinking about certain things, just be like, yeah that's crazy.	296.7746
166	DCB_se1_ag2_m_03	296.7746	(pause 0.88)	297.6563
167	DCB_se1_ag2_m_03	297.6563	But it's all love.	298.6272
168	DCB_se1_ag3_m_01	299.0777	<laugh>	299.8117
169	DCB_se1_ag3_m_01	299.8117	(pause 0.13)	299.9452
170	DCB_se1_ag3_m_01	299.9452	Yeah I feel you, man.	301.0905
171	DCB_se1_ag3_m_01	301.0905	(pause 0.36)	301.4500
172	DCB_se1_ag3_m_01	301.4500	Cause the middle child it seem like we get washed out, man, [sometimes, right?]	304.7107
173	DCB_se1_ag2_m_03	304.2802	[Yeah like] you ain't[AA0] nowhere.	305.4082
174	DCB_se1_ag3_m_01	306.0353	Ah yeah, [exactly] you ain't [nowhere, you- nah], you just- Cause you either the first,	310.0233
175	DCB_se1_ag2_m_03	306.6525	[<laugh>]	307.1030
176	DCB_se1_ag2_m_03	307.1030	(pause 0.53)	307.6368
177	DCB_se1_ag2_m_03	307.6368	[You ain't[AA0] nowhere.]	308.3995
178	DCB_se1_ag3_m_01	310.7707	as you g- If you born in the middle you in the way.	312.7367
179	DCB_se1_ag3_m_01	312.7367	(pause 0.12)	312.8527
180	DCB_se1_ag3_m_01	312.8527	[<laugh>] It's like you in the way.	315.6681
181	DCB_se1_ag2_m_03	312.9328	[Yeah, yeah, yeah, yeah.]	314.4777
182	DCB_se1_ag2_m_03	314.4777	(pause 1.10)	315.5762
183	DCB_se1_ag2_m_03	315.5762	Like they second to [last.]	316.7862
184	DCB_se1_ag3_m_01	316.5872	[Right], like dang you in the way right now, what are you doing?	319.1092
185	DCB_se1_ag3_m_01	321.1725	Yeah I feel you on that though.	322.5038
186	DCB_se1_ag3_m_01	322.5038	(pause 2.24)	324.7393
187	DCB_se1_ag3_m_01	324.7393	So you never like,	325.5201
188	DCB_se1_ag3_m_01	325.5201	(pause 0.43)	325.9538
189	DCB_se1_ag3_m_01	325.9538	dressed up for- like for Halloween and stuff? You ain't [did all that?]	328.5505
190	DCB_se1_ag2_m_03	328.0033	[Nah, yeah, yeah, I mean,] yeah I did that, you know what I'm saying, but yeah that definitely was, you know, like something to do in the neighborhood, whatever the case may been.	334.5005
191	DCB_se1_ag2_m_03	336.3122	Trick or treat.	336.9295
192	DCB_se1_ag3_m_01	340.0333	Who were you?	340.6187
193	DCB_se1_ag2_m_03	341.4681	Oh well more so I guess you could call me the, [um-]	343.8604
194	DCB_se1_ag3_m_01	343.7803	[I'm] talking about like who you- like, what superhero were you?	345.8928
195	DCB_se1_ag2_m_03	345.2326	[Oh, oh, oh], oh, I was like the villain, I was like, the- like, you know, I was- Uh, I can't even remember who I was back then. I [was something.]	351.2951
196	DCB_se1_ag3_m_01	350.8288	[Skeletor?]	351.6182
197	DCB_se1_ag2_m_03	352.8174	Nah, I [/?/]	353.3227
198	DCB_se1_ag3_m_01	353.1110	[From] He-Man?	353.8857
199	DCB_se1_ag2_m_03	354.1287	I c- yeah, I [/was the-/]	355.1163
200	DCB_se1_ag3_m_01	354.6792	[Remember He-Man? Yeah, /don't lie-/ you don't like He-Man? <laugh>]	357.5128
201	DCB_se1_ag2_m_03	355.4099	[Yeah, yeah, nah yeah] I was him, I was the [grim] reaper all the time.	359.1644
202	DCB_se1_ag3_m_01	358.4004	[<laugh>]	358.5105
203	DCB_se1_ag3_m_01	359.1878	[<laugh>]	360.1454
204	DCB_se1_ag2_m_03	359.9018	[Yeah.]	360.3122
205	DCB_se1_ag3_m_01	361.5601	Oh,	362.1140
206	DCB_se1_ag3_m_01	362.1140	(pause 0.56)	362.6778
207	DCB_se1_ag3_m_01	362.6778	that's what's up.	363.4094
208	DCB_se1_ag3_m_01	363.4094	(pause 1.93)	365.3413
209	DCB_se1_ag3_m_01	365.3413	Can you draw?	365.9919
210	DCB_se1_ag2_m_03	367.7436	Nah, I mean, you know, I try, you know, I ain't[AAQ] never- you know, ain't[AB0] really- You know, I got my own style I guess you could call it, you [know.]	372.9862
211	DCB_se1_ag3_m_01	372.6525	[/Cause/ you] can like-	373.2398
212	DCB_se1_ag2_m_03	373.5601	Yeah, yeah, you know, I try different things, you know, try to	375.5962
213	DCB_se1_ag2_m_03	375.5962	(pause 0.74)	376.3336
214	DCB_se1_ag2_m_03	376.3336	call it m- [/?/]	377.2078
215	DCB_se1_ag3_m_01	376.9709	[So you] never just like went to school for it or nothing, you can [just naturally draw?]	379.6835
216	DCB_se1_ag2_m_03	378.8260	[Nah, nah], you know, I ain't-[AAQ] it ain't[AA0] nothing spontaneous or nothing, you know, over the boat.	383.2378
217	DCB_se1_ag2_m_03	384.0486	But, you know I- you know, I dip and dab, you know, I- you know.	386.3609
218	DCB_se1_ag3_m_01	387.5328	Are you left handed and your brother's right handed?	389.2579
219	DCB_se1_ag2_m_03	389.4414	Yeah.	389.8418
220	DCB_se1_ag3_m_01	390.0519	/Now/ that's crazy,	390.7693
221	DCB_se1_ag2_m_03	390.8728	Yeah, /inaudible/	391.5501
222	DCB_se1_ag3_m_01	391.6001	That's not crazy but that's just wild. [That's-]	393.9499
223	DCB_se1_ag2_m_03	393.5462	[Nah], like, [we-]	394.4170
224	DCB_se1_ag3_m_01	394.2335	[Is that] just how it is though? [It's-]	395.6616
225	DCB_se1_ag2_m_03	395.4380	[Nah], like we- me and him are really opposite. Like I might catch a-	398.7346
226	DCB_se1_ag2_m_03	399.2993	a- uh, uh, uh, uh, a ear infection in my left ear, he can catch it same day, same week, everything in his right ear,	405.1416
227	DCB_se1_ag2_m_03	405.1416	(pause 0.70)	405.8465
228	DCB_se1_ag2_m_03	405.8465	you know what I'm saying.	406.4371
229	DCB_se1_ag3_m_01	406.7674	Wow.	407.4100
230	DCB_se1_ag3_m_01	407.4100	(pause 4.64)	412.0533
231	DCB_se1_ag3_m_01	412.0533	Has y'all ev- <laugh> has ever a time- T- give me a story, give me one good story, man, we'll close this interview.	417.3460
232	DCB_se1_ag2_m_03	417.2125	[<laugh>]	417.7430
233	DCB_se1_ag3_m_01	417.5295	[Give] me a story where someone [actually thought-]	419.9018
234	DCB_se1_ag2_m_03	419.2812	[<laugh>]	419.6115
235	DCB_se1_ag3_m_01	420.2355	a good one now, when [a- someone actually thought] that you was him,	423.6463
236	DCB_se1_ag2_m_03	421.1997	[Yeah. <laugh>]	422.5611
237	DCB_se1_ag2_m_03	423.9299	Right.	424.1872
238	DCB_se1_ag3_m_01	424.5338	and he as you and you played along with it and you learned something that you didn't wanna know,	429.1116
239	DCB_se1_ag3_m_01	429.1116	(pause 0.33)	429.4428
240	DCB_se1_ag3_m_01	429.4428	/it's like-/ you know what I'm saying?	430.5305
241	DCB_se1_ag3_m_01	430.5305	(pause 0.53)	431.0643
242	DCB_se1_ag3_m_01	431.0643	I'll let you go from there, you-	432.2688
243	DCB_se1_ag2_m_03	432.2688	Man I can't even tell you one of those stories, [man.]	434.9389
244	DCB_se1_ag3_m_01	434.4251	[Just tell me-] nah, don't- [tell me one-]	436.0184
245	DCB_se1_ag2_m_03	435.3727	[I can't even tell] [you one of those stories.]	437.3913
246	DCB_se1_ag3_m_01	436.2602	[You- give me one that] w- outside of- of somebody- Give me a story, [man, you give me a story you choose to] give me, man. [Give me a- give me a twin story, man.]	443.2722
247	DCB_se1_ag2_m_03	439.7736	[<ts> Man, <sigh>]	441.3171
248	DCB_se1_ag2_m_03	441.3171	(pause 0.48)	441.7931
249	DCB_se1_ag2_m_03	441.7931	[Alright, yeah, alright], I'm- a twin story, yeah, basically a twin story, I'm'a give you a twin story.	446.0873
250	DCB_se1_ag2_m_03	446.6678	I'm trying to find a good twin story for this story right here, /?/ cause hopefully it goes somewhere.	450.8023
251	DCB_se1_ag2_m_03	450.8023	(pause 0.47)	451.2731
252	DCB_se1_ag2_m_03	451.2731	But, um,	451.7736
253	DCB_se1_ag2_m_03	451.7736	(pause 1.23)	452.9990
254	DCB_se1_ag2_m_03	452.9990	I don't know what to say, it's just crazy how- like, you know, like how it started off as just growing up, and just like, you know how you run into the same people, whatever,	459.5762
255	DCB_se1_ag2_m_03	459.5762	(pause 0.44)	460.0162
256	DCB_se1_ag2_m_03	460.0162	you know, growing up and you see 'em again, whatever. But it just like,	462.6388
257	DCB_se1_ag2_m_03	462.6388	(pause 0.90)	463.5396
258	DCB_se1_ag2_m_03	463.5396	they look at me and my brother as the same, but that's the same time different. Like I'm more so mature, he more so, you know, whatever it- it is he-	469.2573
259	DCB_se1_ag2_m_03	469.2573	(pause 0.42)	469.6764
260	DCB_se1_ag2_m_03	469.6764	And it be just like-	470.5039
261	DCB_se1_ag2_m_03	470.5039	(pause 0.68)	471.1887
262	DCB_se1_ag2_m_03	471.1887	like time, you know what I'm saying, flipped.	472.8270
263	DCB_se1_ag2_m_03	472.8270	(pause 0.50)	473.3275
264	DCB_se1_ag2_m_03	473.3275	They be like, oh, my brother on they line, or he- they on his- my brother line and just like, alright cool.	477.2488
265	DCB_se1_ag2_m_03	477.2488	(pause 0.42)	477.6659
266	DCB_se1_ag2_m_03	477.6659	At the same time it's like damn,	479.2741
267	DCB_se1_ag2_m_03	479.2741	(pause 0.38)	479.6545
268	DCB_se1_ag2_m_03	479.6545	I don't even know who I'm talking to.	480.9791
269	DCB_se1_ag2_m_03	480.9791	(pause 0.41)	481.3895
270	DCB_se1_ag2_m_03	481.3895	So it be like now, like I say, to give you a story and everything,	484.2831
271	DCB_se1_ag2_m_03	484.2831	(pause 0.45)	484.7302
272	DCB_se1_ag2_m_03	484.7302	/I'm about/ talk to a little youngin and everything,	486.7555
273	DCB_se1_ag2_m_03	486.7555	(pause 0.41)	487.1659
274	DCB_se1_ag2_m_03	487.1659	and it just like everything's cool, everything was sweet, you know what I'm saying. And it was just like,	490.8637
275	DCB_se1_ag2_m_03	490.8637	(pause 0.88)	491.7479
276	DCB_se1_ag2_m_03	491.7479	she not even knowing like I had a twin.	493.8966
277	DCB_se1_ag2_m_03	493.8966	(pause 0.35)	494.2470
278	DCB_se1_ag2_m_03	494.2470	And it was just like-	495.0686
279	DCB_se1_ag3_m_01	495.0720	What do you mean, hold on, what do you mean talking to her like, talking to- you've already been dating [or you just- just] [started talking to her?]	500.2737
280	DCB_se1_ag2_m_03	498.5020	[Nah like just like-]	499.4195
281	DCB_se1_ag2_m_03	499.4195	(pause 0.10)	499.5196
282	DCB_se1_ag2_m_03	499.5196	[like yeah I just started] talking to her and everything. And it was just like, me and my brother used to play so many games and just be like, man I know if I- you talk to shorty I can talk to her too.	506.8142
283	DCB_se1_ag2_m_03	507.3722	You know what I'm saying, not even her knowing or whatever the case may've been, so it just like alright cool, whatever.	510.9257
284	DCB_se1_ag2_m_03	510.9257	(pause 0.47)	511.3928
285	DCB_se1_ag2_m_03	511.3928	So it was just like, alright cool.	512.6974
286	DCB_se1_ag2_m_03	512.6974	(pause 0.49)	513.1921
287	DCB_se1_ag2_m_03	513.1921	So like I said, I'm talking to shorty or whatever, so we probably talking for like a good week.	516.2317
288	DCB_se1_ag2_m_03	516.2317	(pause 0.60)	516.8323
289	DCB_se1_ag2_m_03	516.8323	And I don't even know how shorty got my brother number, how, you know, they got each other number, but	520.9738
290	DCB_se1_ag2_m_03	520.9738	(pause 0.43)	521.4009
291	DCB_se1_ag2_m_03	521.4009	you know, she got his number whatever, they talking too. So she was just like-	524.1169
292	DCB_se1_ag2_m_03	524.1169	(pause 0.96)	525.0786
293	DCB_se1_ag2_m_03	525.0786	like at the same time, like- My name /RD-NAME-2/ his name /RD-NAME-3/.	528.0048
294	DCB_se1_ag2_m_03	528.0048	(pause 0.35)	528.3551
295	DCB_se1_ag2_m_03	528.3551	So she was just like,	529.3361
296	DCB_se1_ag2_m_03	529.3361	(pause 0.24)	529.5763
297	DCB_se1_ag2_m_03	529.5763	/RD-NAME-2/,	530.0468
298	DCB_se1_ag2_m_03	530.0468	(pause 0.59)	530.6382
299	DCB_se1_ag2_m_03	530.6382	/RD-NAME-2/.	531.1587
300	DCB_se1_ag2_m_03	531.1587	(pause 0.63)	531.7927
301	DCB_se1_ag2_m_03	531.7927	So my brother just going with it, you know what I'm saying, like my brother said he told her like his name was /RD-NAME-3/ but she just kept saying his name was d- like- She ain't[AB0] even say his name was /RD-NAME-2/ but like his name was /RD-NAME-2/ b- just because	539.4042
302	DCB_se1_ag2_m_03	539.4042	(pause 0.35)	539.7579
303	DCB_se1_ag2_m_03	539.7579	she would like	540.2884
304	DCB_se1_ag2_m_03	540.2884	(pause 0.25)	540.5353
305	DCB_se1_ag2_m_03	540.5353	be talking like,	541.2827
306	DCB_se1_ag2_m_03	541.2827	(pause 0.43)	541.7131
307	DCB_se1_ag2_m_03	541.7131	you know what I'm saying, everything at the same style, everything was like	544.4299
308	DCB_se1_ag2_m_03	544.4299	(pause 1.04)	545.4676
309	DCB_se1_ag2_m_03	545.4676	from the outside looking in you wouldn't even know. It was just like she never seen the nigga, or to see him, not even knowing like,	549.7860
310	DCB_se1_ag2_m_03	549.7860	(pause 0.55)	550.3332
311	DCB_se1_ag2_m_03	550.3332	we was twins. It was just like,	551.5544
312	DCB_se1_ag2_m_03	551.5544	(pause 0.79)	552.3485
313	DCB_se1_ag2_m_03	552.3485	like, she was like, oh, like nah you got somebody out here like just like you.	554.6173
314	DCB_se1_ag2_m_03	554.6173	(pause 0.09)	554.7116
315	DCB_se1_ag2_m_03	554.7116	Like, I know you do.	555.5457
316	DCB_se1_ag2_m_03	555.5457	(pause 0.58)	556.1263
317	DCB_se1_ag2_m_03	556.1263	And it was just like, yeah like I know like, I'm just like, that's crazy.	558.8423
318	DCB_se1_ag2_m_03	558.8423	(pause 1.05)	559.8966
