Line	Spkr	StTime	Content	EnTime
1	DCB_se1_ag3_m_01	0.9420	Are you- um, are you a movie person?	2.6207
2	DCB_se1_ag2_m_03	3.6530	Uh, yeah,	4.4537
3	DCB_se1_ag2_m_03	4.4537	(pause 0.18)	4.6339
4	DCB_se1_ag2_m_03	4.6339	I s- yeah, I say so, yeah.	6.1387
5	DCB_se1_ag3_m_01	6.2455	What's your top five?	7.0463
6	DCB_se1_ag2_m_03	7.8671	Movies?	8.3417
7	DCB_se1_ag2_m_03	8.3417	(pause 0.62)	8.9590
8	DCB_se1_ag2_m_03	8.9590	Uh,	9.3160
9	DCB_se1_ag2_m_03	9.3160	(pause 0.32)	9.6363
10	DCB_se1_ag2_m_03	9.6363	/I've/ have to say Godfather,	11.4547
11	DCB_se1_ag2_m_03	11.4547	(pause 0.93)	12.3856
12	DCB_se1_ag2_m_03	12.3856	Goodfellas,	13.4976
13	DCB_se1_ag2_m_03	13.4976	(pause 0.66)	14.1586
14	DCB_se1_ag2_m_03	14.1586	Well I'm just gonna say all the Godfellas-	15.7798
15	DCB_se1_ag2_m_03	15.7798	(pause 0.16)	15.9432
16	DCB_se1_ag2_m_03	15.9432	Goodfellows.	16.7741
17	DCB_se1_ag2_m_03	16.7741	(pause 0.68)	17.4547
18	DCB_se1_ag2_m_03	17.4547	Um,	18.0586
19	DCB_se1_ag2_m_03	18.0586	(pause 1.68)	19.7436
20	DCB_se1_ag2_m_03	19.7436	probably Paid in Full.	21.1964
21	DCB_se1_ag2_m_03	21.1964	(pause 1.66)	22.8575
22	DCB_se1_ag2_m_03	22.8575	/?? in/ Paid in Full and, um,	24.6892
23	DCB_se1_ag2_m_03	24.6892	(pause 0.33)	25.0229
24	DCB_se1_ag2_m_03	25.0229	Scarface.	25.7069
25	DCB_se1_ag3_m_01	27.7731	What's the fifth one?	28.5377
26	DCB_se1_ag2_m_03	29.9952	Um, well,	30.7627
27	DCB_se1_ag2_m_03	30.7627	(pause 0.20)	30.9628
28	DCB_se1_ag2_m_03	30.9628	I guess,	31.5034
29	DCB_se1_ag2_m_03	31.5034	(pause 2.38)	33.8832
