,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,58,DCB_se2_ag2_f_02,51.8465,"starting out in DC I went to a Catholic school. I'm not sure the name of it. I cannot remember. Um,","56.5876
",BE_N,'m not
1,58,DCB_se2_ag2_f_02,51.8465,"starting out in DC I went to a Catholic school. I'm not sure the name of it. I cannot remember. Um,","56.5876
",BE_N,not
2,62,DCB_se2_ag2_f_02,57.4502,"is off of um,","58.8630
",BE_P,is
3,84,DCB_se2_ag2_f_02,85.9487,"[Uh], /RD-SCHOOL-2/ University for my bachelor's.","87.4828
",BE_P,'s
4,93,DCB_se2_ag2_f_02,95.4599,I'm a,"96.0894
",BE_P,'m
5,97,DCB_se2_ag2_f_02,102.0603,"Um, and I am a /RD-WORK-13/","104.9886
",BE_P,am
6,113,DCB_se2_ag2_f_02,129.7160,<laugh> [He's a plumber. <laugh>],"131.4226
",BE_P,'s
7,116,DCB_se2_ag2_f_02,133.8135,"Um, she's a stay at home mom.","134.8254
",BE_P,'s
8,167,DCB_se2_ag2_f_02,194.5502,"um, is that it was a safe environment when I was younger.","197.2547
",BE_P,is
9,169,DCB_se2_ag2_f_02,197.7385,"And I don't know if I perceived it as safe because I was so young, [um], but when I took /RD-NAME-1/ back","202.5366
",DO_N,don't
10,173,DCB_se2_ag2_f_02,205.0161,"I called my brother, and I'm like, it looks so different.","206.9652
",BE_P,'m
11,177,DCB_se2_ag2_f_02,208.8906,"But as a child, I'm like,","210.0144
",BE_P,'m
12,195,DCB_se2_ag2_f_02,222.3314,"I do remember though,","223.6744
",DO_P,do
13,197,DCB_se2_ag2_f_02,223.9308,there are times when,"224.8401
",BE_P,are
14,211,DCB_se2_ag2_f_02,232.3882,"I remember that when we did move, we moved into","235.3806
",DO_P,did
15,233,DCB_se2_ag2_f_02,255.5827,"and at the time I didn't know what was going on, but [I talked] to my mother about it","258.7663
",DO_N,didn't
16,249,DCB_se2_ag2_f_02,268.7379,don't remember what it was. I couldn't tell you the name or anything.,"271.0041
",DO_N,don't
17,253,DCB_se2_ag2_f_02,273.4148,is when we moved to Virginia.,"274.5386
",BE_P,is
18,277,DCB_se2_ag2_f_02,295.8388,I didn't feel,"296.9346
",DO_N,didn't
19,281,DCB_se2_ag2_f_02,298.3136,"whereas when I take friends back, they're like, oh my gosh. There's black people everywhere. They feel unsafe.","302.6688
",BE_P,'s
20,281,DCB_se2_ag2_f_02,298.3136,"whereas when I take friends back, they're like, oh my gosh. There's black people everywhere. They feel unsafe.","302.6688
",BE_P,'re
21,283,DCB_se2_ag2_f_02,303.1491,"And I don't know if it's cause I grew up there,","304.6633
",DO_N,don't
22,283,DCB_se2_ag2_f_02,303.1491,"And I don't know if it's cause I grew up there,","304.6633
",BE_P,'s
23,285,DCB_se2_ag2_f_02,305.1436,I view it as they're black.,"306.6031
",BE_P,'re
