Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.5258	And where were you born?	1.6485
2	DCB_se1_ag2_f_02	2.1386	I lived in DC but I was born in Prince George's County.	5.4333
3	DCB_int_01	5.4253	Okay, so you were born in	6.7253
4	DCB_int_01	7.6463	Prince George's but you grew up in DC.	10.0314
5	DCB_int_01	10.0314	(pause 0.52)	10.5529
6	DCB_int_01	10.5529	In what neighborhood?	11.4476
7	DCB_se1_ag2_f_02	11.9416	Um, Langston Place.	13.5708
8	DCB_int_01	13.5597	Mm.	13.8437
9	DCB_se1_ag2_f_02	14.3547	[Formerly known as Woodland.]	15.9667
10	DCB_se2_ag2_f_01	14.3707	[/inaudible/.]	16.0992
11	DCB_se1_ag2_f_02	16.6530	Huh?	17.0023
12	DCB_se2_ag2_f_01	17.1732	You got a neighborhood,	18.3399
13	DCB_se2_ag2_f_01	18.3399	(pause 0.20)	18.5378
14	DCB_se2_ag2_f_01	18.5378	/inaudible/ [/That's Woodland./]	20.5138
15	DCB_se1_ag2_f_02	19.3142	[No.]	20.0115
16	DCB_se2_ag2_f_01	21.2603	[It's cool she] /wouldn't/ hear about them girl gangs and stuff.	23.8270
17	DCB_int_01	21.2843	[Um-]	21.7163
18	DCB_int_01	23.8615	What- how long have you lived in DC?	26.0082
19	DCB_se1_ag2_f_02	26.1426	Um,	26.9066
20	DCB_se1_ag2_f_02	26.9066	(pause 1.65)	28.5609
21	DCB_se1_ag2_f_02	28.5609	I'm twenty-five, so, for twenty-three years.	31.0861
22	DCB_int_01	31.0901	Twenty-three years.	31.8807
23	DCB_int_01	31.8807	(pause 0.60)	32.4827
24	DCB_int_01	32.4827	Where'd you live the other two years?	33.5912
25	DCB_se1_ag2_f_02	33.5765	Germany for two years.	34.7535
26	DCB_int_01	35.1692	Huh.	35.5319
27	DCB_int_01	35.5319	(pause 0.55)	36.0776
28	DCB_int_01	36.0776	How'd you get to Germany?	37.0883
29	DCB_se1_ag2_f_02	37.0821	My father's in the [military.]	38.4314
30	DCB_int_01	38.3547	[Mm.]	38.6960
31	DCB_se1_ag2_f_02	38.7509	[Yeah.]	39.0870
32	DCB_int_01	38.9790	[I] thought so.	39.6896
33	DCB_se1_ag2_f_02	39.7886	<laugh>	40.1207
34	DCB_int_01	40.4849	Where'd you go to school?	41.2129
35	DCB_se1_ag2_f_02	41.5974	Um, all the schools?	43.0574
36	DCB_int_01	43.1341	Mm-hm.	43.5488
37	DCB_se1_ag2_f_02	43.6303	Elementary /RD-SCHOOL-7/.	46.8273
38	DCB_se1_ag2_f_02	46.8273	(pause 1.59)	48.4178
39	DCB_se1_ag2_f_02	48.4178	Uh, for middle school /RD-SCHOOL-2/,	50.2484
40	DCB_se1_ag2_f_04	50.3827	/They ain't gonna remember ?/.	51.6747
41	DCB_se1_ag2_f_02	51.8646	and for high school /RD-SCHOOL-4/.	54.8340
42	DCB_se1_ag2_f_04	54.7099	I don't remember [that.]	55.5714
43	DCB_int_01	55.2782	Oh mm-hm.	56.0385
44	DCB_se2_ag2_f_01	56.0465	And college.	57.2351
45	DCB_se1_ag2_f_02	57.5044	Oh, <laugh> and college /RD-SCHOOL-3/.	59.5177
46	DCB_int_01	60.4778	Oh.	62.4546
47	DCB_int_01	62.4546	(pause 0.60)	63.0510
48	DCB_int_01	63.0510	My girlfriend just graduated from /RD-SCHOOL-3/ a coup- well not just, two years ago.	66.5993
49	DCB_int_01	66.5993	(pause 0.70)	67.3022
50	DCB_int_01	67.3022	Um, what do you do?	68.5475
51	DCB_se1_ag2_f_02	68.9189	I'm a food service worker at /RD-WORK-9/.	72.7699
52	DCB_int_01	78.0456	What about your father and mom where were they born?	79.8825
53	DCB_se1_ag2_f_02	80.2346	Mm- sh- my mother was born- I think she was born here.	84.6499
54	DCB_se1_ag2_f_02	84.6499	(pause 0.28)	84.9300
55	DCB_se1_ag2_f_02	84.9300	But she moved around a lot, and my dad was born in Mississippi.	87.7269
56	DCB_se1_ag2_f_04	89.1332	[I like my baby hair with baby hair and afros. (singing)]	92.9102
57	DCB_se2_ag2_f_01	90.7657	[<laugh>] [Hey.]	94.4556
58	DCB_int_01	93.9967	[What about your] parents what do they do?	95.3573
59	DCB_se1_ag2_f_02	95.6094	Um, my dad is- he's still in the military.	98.9790
60	DCB_int_01	98.9950	Mm.	99.3710
61	DCB_se1_ag2_f_02	99.6565	Um, and he's a regional manager for Home Depot.	103.1938
62	DCB_se1_ag2_f_02	103.1938	(pause 1.27)	104.4627
63	DCB_se1_ag2_f_02	104.4627	[M-]	104.7894
64	DCB_int_01	104.4747	[Is he in] reserves?	105.4792
65	DCB_int_01	105.7966	Or is he [retired? No?]	107.0291
66	DCB_se1_ag2_f_02	106.2568	[No, he was] in reserve but he just went back to [active.] Yeah.	109.5581
67	DCB_int_01	108.7299	[Oh.]	109.0352
68	DCB_se1_ag2_f_02	110.2666	Um, and my mom is a retired government employee.	113.9660
69	DCB_se2_ag2_f_01	122.7869	She was trying to [/inaudible/]	124.3390
70	DCB_se1_ag2_f_02	124.0927	[No] I'm not.	124.7610
71	DCB_int_01	125.8935	So-	126.2202
72	DCB_se1_ag2_f_02	126.1857	That's my thinking, like I'm really trying to think. [<laugh>]	129.7953
73	DCB_se2_ag2_f_01	127.8384	[/inaudible/ <laugh>]	129.9154
74	DCB_int_01	130.2328	So tell me about, um,	132.1817
75	DCB_se2_ag2_f_01	132.2377	[/inaudible/]	134.2666
