,Line,Spkr,StTime,Content,EnTime,Label,Aux
0,2,DCB_se1_ag2_f_02,2.1386,I lived in DC but I was born in Prince George's County.,"5.4333
",BE_P,'s
1,21,DCB_se1_ag2_f_02,28.5609,"I'm twenty-five, so, for twenty-three years.","31.0861
",BE_P,'m
2,29,DCB_se1_ag2_f_02,37.0821,My father's in the [military.],"38.4314
",BE_P,'s
3,51,DCB_se1_ag2_f_02,68.9189,I'm a food service worker at /RD-WORK-9/.,"72.7699
",BE_P,'m
4,59,DCB_se1_ag2_f_02,95.6094,"Um, my dad is- he's still in the military.","98.9790
",BE_P,'s
5,59,DCB_se1_ag2_f_02,95.6094,"Um, my dad is- he's still in the military.","98.9790
",BE_P,is
6,61,DCB_se1_ag2_f_02,99.6565,"Um, and he's a regional manager for Home Depot.","103.1938
",BE_P,'s
7,68,DCB_se1_ag2_f_02,110.2666,"Um, and my mom is a retired government employee.","113.9660
",BE_P,is
8,70,DCB_se1_ag2_f_02,124.0927,[No] I'm not.,"124.7610
",BE_N,'m not
9,72,DCB_se1_ag2_f_02,126.1857,"That's my thinking, like I'm really trying to think. [<laugh>]","129.7953
",BE_P,'s
10,72,DCB_se1_ag2_f_02,126.1857,"That's my thinking, like I'm really trying to think. [<laugh>]","129.7953
",BE_P,'m
11,90,DCB_se1_ag2_f_02,163.6383,"I wanna remember the neighbor- this is like one of those neighborhoods everyone knows but I can't remember, so we lived around there for a while.","168.5900
",BE_P,is
12,92,DCB_se1_ag2_f_02,168.9220,"Then my mom- I'm not sure why she moved I don't know if she got put out or she just wanted to move,","173.0131
",BE_N,'m not
13,92,DCB_se1_ag2_f_02,168.9220,"Then my mom- I'm not sure why she moved I don't know if she got put out or she just wanted to move,","173.0131
",DO_N,don't
14,96,DCB_se1_ag2_f_02,177.3671,"Woodland, which is Langston Place.","179.4569
",BE_P,is
15,118,DCB_se1_ag2_f_02,204.0336,out of the country my mom is just,"205.4403
",BE_P,is
16,134,DCB_se1_ag2_f_02,223.9767,I have two older sisters and one little brother.,"226.1198
",HV_P,have
17,138,DCB_se1_ag2_f_02,227.0531,[/That's-/],"227.4091
",BE_P,'s
18,141,DCB_se1_ag2_f_02,230.3667,yeah we did.,"231.1509
",DO_P,did
19,145,DCB_se1_ag2_f_02,232.1207,s- okay I have a older sister that's-,"234.2497
",HV_P,have
20,147,DCB_se1_ag2_f_02,234.7099,she's about eight years older than me.,"236.8219
",BE_P,'s
21,149,DCB_se1_ag2_f_02,237.4204,And I have another sister that's six years older than me. My sister that's six years older than me she was like one of those like trouble kids.,"243.3393
",BE_P,'s
22,149,DCB_se1_ag2_f_02,237.4204,And I have another sister that's six years older than me. My sister that's six years older than me she was like one of those like trouble kids.,"243.3393
",BE_P,'s
23,149,DCB_se1_ag2_f_02,237.4204,And I have another sister that's six years older than me. My sister that's six years older than me she was like one of those like trouble kids.,"243.3393
",HV_P,have
24,151,DCB_se1_ag2_f_02,243.8926,"So it was like every time she'd get in trouble my mom would say, okay, you gotta go to your grandmother's, so she's just like back and forth.","248.5548
",BE_P,'s
25,151,DCB_se1_ag2_f_02,243.8926,"So it was like every time she'd get in trouble my mom would say, okay, you gotta go to your grandmother's, so she's just like back and forth.","248.5548
",BE_P,'s
26,165,DCB_se1_ag2_f_02,264.5258,"Once we moved to Woodland which is strange she had- that's when she allowed us to go outside though,","268.1995
",BE_P,'s
27,165,DCB_se1_ag2_f_02,264.5258,"Once we moved to Woodland which is strange she had- that's when she allowed us to go outside though,","268.1995
",BE_P,is
28,178,DCB_se1_ag2_f_02,289.1181,"it was more familiar. Like, we knew these people they wouldn't hurt us and things like that. They did things to other people but they wouldn't do it to us.","294.9673
",DO_P,do
29,178,DCB_se1_ag2_f_02,289.1181,"it was more familiar. Like, we knew these people they wouldn't hurt us and things like that. They did things to other people but they wouldn't do it to us.","294.9673
",DO_P,did
30,190,DCB_se1_ag2_f_02,310.4169,that was in North- I think /RD-SCHOOL-4/'s in Northwest.,"312.6297
",BE_P,'s
31,192,DCB_se1_ag2_f_02,313.3222,"I don't even know how I was able to go there because we lived in Southeast but I think because my grandmother,","317.7495
",DO_N,don't
32,196,DCB_se1_ag2_f_02,319.6864,I don't remember much about /RD-SCHOOL-4/.,"321.2711
",DO_N,don't
33,198,DCB_se1_ag2_f_02,322.3608,"/RD-SCHOOL-2/ I remember a lot, um, that's when the nine eleven","325.6421
",BE_P,'s
34,204,DCB_se1_ag2_f_02,331.4983,"I didn't know what was going on,","332.6423
",DO_N,didn't
35,212,DCB_se1_ag2_f_02,342.2337,"like I was never sad about it like, I don't know [why but-]","344.8949
",DO_N,don't
36,214,DCB_se1_ag2_f_02,345.7073,I guess I didn't- because it was no one that I knew.,"348.0736
",DO_N,didn't
37,225,DCB_se1_ag2_f_02,363.7395,"But I'm [still like that to this day like,]","365.6242
",BE_P,'m
38,228,DCB_se1_ag2_f_02,366.2367,I don't know why I'm like that but it's just-,"367.9175
",DO_N,don't
39,228,DCB_se1_ag2_f_02,366.2367,I don't know why I'm like that but it's just-,"367.9175
",BE_P,'s
40,228,DCB_se1_ag2_f_02,366.2367,I don't know why I'm like that but it's just-,"367.9175
",BE_P,'m
41,230,DCB_se1_ag2_f_02,368.8511,"Things that everybody else can be crying about, I'm like, girl, like, it's not that serious, like,","372.9970
",BE_N,'s not
42,230,DCB_se1_ag2_f_02,368.8511,"Things that everybody else can be crying about, I'm like, girl, like, it's not that serious, like,","372.9970
",BE_P,'m
43,238,DCB_se1_ag2_f_02,389.1722,was /RD-NAME-2/ passing away like I've been-,"391.9882
",HV_P,'ve
44,240,DCB_se1_ag2_f_02,392.2736,"I've been molested before and it still- when that happened I was just like,","395.0361
",HV_P,'ve
45,244,DCB_se1_ag2_f_02,398.2308,"he did this, okay what's next? And that was it. But I wasn't like, oh my god, like, my world's ruined and- no.","403.8454
",BE_P,'s
46,244,DCB_se1_ag2_f_02,398.2308,"he did this, okay what's next? And that was it. But I wasn't like, oh my god, like, my world's ruined and- no.","403.8454
",HV_P,'s
47,244,DCB_se1_ag2_f_02,398.2308,"he did this, okay what's next? And that was it. But I wasn't like, oh my god, like, my world's ruined and- no.","403.8454
",DO_P,did
48,265,DCB_se1_ag2_f_02,431.3843,and a brother they're the same age so my mom and my sister were pregnant at the same time.,"434.4910
",BE_P,'re
49,277,DCB_se1_ag2_f_02,448.3253,"continue doing the /payment/ so you can go, and I was like, I don't wanna go to school, this is a neighborhood school, like,","452.7338
",DO_N,don't
50,277,DCB_se1_ag2_f_02,448.3253,"continue doing the /payment/ so you can go, and I was like, I don't wanna go to school, this is a neighborhood school, like,","452.7338
",BE_P,is
51,281,DCB_se1_ag2_f_02,453.6395,"the kids were rough to me like, you know, I didn't know how it was gonna go but it ended up being a great experience.","458.3857
",DO_N,didn't
52,283,DCB_se1_ag2_f_02,458.6276,"Like in the beginning I was like, I don't wanna go to this school, but my mom was like, well there's no other options, but I ended up loving it. But in the beginning I was like, I don't wanna go to this school.","465.3233
",DO_N,don't
53,283,DCB_se1_ag2_f_02,458.6276,"Like in the beginning I was like, I don't wanna go to this school, but my mom was like, well there's no other options, but I ended up loving it. But in the beginning I was like, I don't wanna go to this school.","465.3233
",DO_N,don't
54,283,DCB_se1_ag2_f_02,458.6276,"Like in the beginning I was like, I don't wanna go to this school, but my mom was like, well there's no other options, but I ended up loving it. But in the beginning I was like, I don't wanna go to this school.","465.3233
",BE_P,'s
55,285,DCB_se1_ag2_f_02,466.8280,"Cause it was neighborhoods like w- they were rough, [<laugh>] like, I didn't wanna go there.","471.3553
",DO_N,didn't
56,298,DCB_se1_ag2_f_02,485.6644,"[My mom- and it's- it's like] I am now with my sons like, I live in a hood, but it's like","489.0938
",BE_P,'s
57,298,DCB_se1_ag2_f_02,485.6644,"[My mom- and it's- it's like] I am now with my sons like, I live in a hood, but it's like","489.0938
",BE_P,'s
58,298,DCB_se1_ag2_f_02,485.6644,"[My mom- and it's- it's like] I am now with my sons like, I live in a hood, but it's like","489.0938
",BE_P,'s
59,298,DCB_se1_ag2_f_02,485.6644,"[My mom- and it's- it's like] I am now with my sons like, I live in a hood, but it's like","489.0938
",BE_P,am
60,302,DCB_se1_ag2_f_02,492.0126,"[No], you try your best to pr- cause I have two others- I m- I have two sons. [They're five and seven.]","496.0762
",BE_P,'re
61,302,DCB_se1_ag2_f_02,492.0126,"[No], you try your best to pr- cause I have two others- I m- I have two sons. [They're five and seven.]","496.0762
",HV_P,have
62,302,DCB_se1_ag2_f_02,492.0126,"[No], you try your best to pr- cause I have two others- I m- I have two sons. [They're five and seven.]","496.0762
",HV_P,have
63,310,DCB_se1_ag2_f_02,501.2193,"they don't feel like they're in the hood. [So that was] my mom's thing like, we're in the hood but","505.3052
",DO_N,don't
64,310,DCB_se1_ag2_f_02,501.2193,"they don't feel like they're in the hood. [So that was] my mom's thing like, we're in the hood but","505.3052
",BE_P,'s
65,310,DCB_se1_ag2_f_02,501.2193,"they don't feel like they're in the hood. [So that was] my mom's thing like, we're in the hood but","505.3052
",BE_P,'re
66,310,DCB_se1_ag2_f_02,501.2193,"they don't feel like they're in the hood. [So that was] my mom's thing like, we're in the hood but","505.3052
",BE_P,'re
67,312,DCB_se1_ag2_f_02,505.5773,you don't have to-,"506.5831
",DO_N,don't
68,312,DCB_se1_ag2_f_02,505.5773,you don't have to-,"506.5831
",HV_P,have
69,314,DCB_se1_ag2_f_02,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,","512.0177
",BE_N,'m not
70,314,DCB_se1_ag2_f_02,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,","512.0177
",DO_N,don't
71,314,DCB_se1_ag2_f_02,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,","512.0177
",BE_P,'s
72,314,DCB_se1_ag2_f_02,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,","512.0177
",BE_P,'re
73,314,DCB_se1_ag2_f_02,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,","512.0177
",HV_P,have
74,325,DCB_se1_ag2_f_02,523.7134,"I'm able to do that. So I take them on trips, you know, I show them nice things I get 'em out here,","528.0417
",BE_P,'m
