,StTime,line,type
0,203.4367,"Like I- my cousin, he was good at it though. He could play the drums, but I- I don't know, my rhythm was just off or something. I ain't[ABQ] never [really good-] I- I played the trumpet though.",ain't
1,213.7159,I ain't[ABQ] never really was good at no drums.,ain't
2,26.8806,they might have their own song that they created theirself,AA2
3,112.2326,and just showing that- you know what I'm saying? Young black kids can do other things,AA2
4,123.8291,"to go and be able to do that. Like, musicians, the people that",AA2
5,132.4670,"Every neighborhood had a band. You know, everybody wanted to have a band, so",AA2
6,203.4367,"Like I- my cousin, he was good at it though. He could play the drums, but I- I don't know, my rhythm was just off or something. I ain't[ABQ] never [really good-] I- I played the trumpet though.",AA2
7,311.2520,"To be honest with you, I don't even know what's in mumbo sauce but it's just the taste,",AA2
8,380.8027,"might have a little spice to 'em, different places you might go to, but for the most part,",AA2
9,163.0854,in go go is the drums.,CO2
10,289.9391,"Uh, mumbo sauce is like, a, um-",CO2
